id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying,sample_weight
37,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 gokil bgt, pecah trs ga sia2 anjay",gokil banget pecah terus sia anjay,1,minor_negative,non-cyberbullying,0,0.5300732217573222
38,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5 juta, mantap!",depo jadi juta mantap,0,safe,non-cyberbullying,0,0.5300732217573222
39,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Lunas utang, auto kaya cok",lunas utang auto kaya cok,0,safe,non-cyberbullying,0,0.5300732217573222
40,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo dikit lunas utang cok,depo dikit lunas utang cok,0,safe,non-cyberbullying,0,0.5300732217573222
41,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5jt anjay,depo jadi jt anjay,1,minor_negative,non-cyberbullying,0,0.5300732217573222
42,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Modal kecil mekswin trs,modal kecil mekswin terus,0,safe,non-cyberbullying,0,0.5300732217573222
43,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru maen udah mekswin, gila!",baru maen mekswin gila,0,safe,non-cyberbullying,0,0.5300732217573222
44,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 mekswin trs jd lupa utang,mekswin terus jadi lupa utang,0,safe,non-cyberbullying,0,0.5300732217573222
45,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru depo 50 ribu, langsung mekswin 5 juta. Gokil ga sih?",baru depo ribu langsung mekswin juta gokil sih,0,safe,non-cyberbullying,0,0.5300732217573222
46,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 member bru pasti jepe,member bru jepe,0,safe,non-cyberbullying,0,0.5300732217573222
47,Jangan di ubah lagi sutsujin kemistrinya rrq udah bagus,jangan ubah sutsujin mistri rrq bagus,0,safe,non-cyberbullying,0,0.5300732217573222
48,Rinz ga bisa main lele,rinz bisa main lele,0,safe,non-cyberbullying,0,0.5300732217573222
49,Toy cuma bisa granger,toy cuma granger,0,safe,non-cyberbullying,0,0.5300732217573222
50,"Kata onic,badut vs badutttt",kata onicbadut vs badutttt,0,safe,non-cyberbullying,0,0.5300732217573222
51,"Kok mainin sutsujin,kenapa gak zunesh aja wkwkwkwkwkwkwk",kok mainin sutsujinkenapa zunesh wkwkwkwkwkwkwk,0,safe,non-cyberbullying,0,0.5300732217573222
52,Itu erlan ngapain yaaa,erlan ngapain yaaa,0,safe,non-cyberbullying,0,0.5300732217573222
53,"Menit 7 padahal evos war di mid goldlane nya clear lane , itu gada info apa dari mid suruh mundur",menit padahal evos war mid goldlane clear lane gada info apa mid suruh mundur,0,safe,non-cyberbullying,0,0.5300732217573222
54,Ya elah cuman stag di el clasico aja 😂😅 lawan si O kagak mampu boss🤭🤭😁✌✌,elah cuma stag el clasico lawan si o kagak mampu boss,0,safe,non-cyberbullying,0,0.5300732217573222
55,"dari dulu itu ujin punya potensi besar, makanya jgn dibuat ga main",dulu ujin punya potensi benar makanya jangan buat main,0,safe,non-cyberbullying,0,0.5300732217573222
56,"9:21 momen gila rezzz
Gak nyangka banget gua udah ada pengganti lek dyren secepet ini",momen gila rezzz nyangka banget sudah ganti lek dyren secepet,0,safe,non-cyberbullying,0,0.5300732217573222
57,Ya mungkin,mungkin,0,safe,non-cyberbullying,0,0.5300732217573222
58,Itu serius vyn coachnya,serius vyn coachnya,0,safe,non-cyberbullying,0,0.5300732217573222
59,Ngapai lah evos beli KYY.. 😂😂.. kerjaannya juga cuma ngetnot 🤣🤣,ngapai lah evos beli kyy kerja cuma ngetnot,0,safe,non-cyberbullying,0,0.5300732217573222
60,Punya jungler keren dan perfomanya bagus di diemin 😅😅 coba dari awal di mainin pasti ga jauh jatuhnya,punya jungler keren perfomanya bagus diemin coba awal mainin tidak jauh jatuh,0,safe,non-cyberbullying,0,0.5300732217573222
61,"Aku nonton ini sambil senyum-senyum sendiri,🀄ℙℝ𝕆𝔹𝔼𝕋855🀄Vibes-nya positif,cara ngomongmu ramah banget, dan yang jelas... nggak ngebosenin! Ini tipe konten yang bisa ditonton berulang-ulang tanpa bikin jenuh. Terima kasih udah nyebarin energi baik. Semoga kamu selalu dilimpahi ide-ide hebat kayak gini terus ya!💯",aku nonton sambil senyumsenyum sendirivibesnya positifcara ngomongmu ramah banget jelas ngebosenin tipe konten yang bisa tonton berulangulang bikin jenuh terima kasih nyebarin energi baik moga kamu selalu limpah ideide hebat gin terus,0,safe,non-cyberbullying,0,0.5300732217573222
62,"dulu fans epos hampir 70%
dan sekarang tinggal 30% sisanya pindah ke onic,",dulu fans epos hampir sekarang tinggal sisa pindah onic,0,safe,non-cyberbullying,0,0.5300732217573222
63,"dulu fans epos hampir 70%
dan sekarang tinggal 30% sisanya pindah ke onic,",dulu fans epos hampir sekarang tinggal sisa pindah onic,0,safe,non-cyberbullying,0,0.5300732217573222
64,Albert vs rrq ini mah 😂,albert vs rrq mah,0,safe,non-cyberbullying,0,0.5300732217573222
65,keliatan siapa player yg bermasalah,liat siapa player masalah,0,safe,non-cyberbullying,0,0.5300732217573222
66,Momen Emote😂😂 9:08,momen emote,0,safe,non-cyberbullying,0,0.5300732217573222
67,APA ITU ZUNESH GOBLOK. BAGUSAN HAZLE. UJIN LEBIH BAGUS DARI KEDUANYA,apa zunesh goblok bagus hazle ujin lebih bagus dua,4,moderate_toxic,cyberbullying,1,8.81304347826087
68,sandal out aja,sandal out,0,safe,non-cyberbullying,0,0.5300732217573222
69,please roster ini kedepannya jangan pake Juned lagiii,please roster depan jangan pakai juned,0,safe,non-cyberbullying,0,0.5300732217573222
70,13:43,,0,safe,non-cyberbullying,0,0.5300732217573222
71,"Coba RRQ pas lawan ONIC pake sutsujin, pasti menang....",coba rrq pas lawan onic pakai sutsujin memang,0,safe,non-cyberbullying,0,0.5300732217573222
72,"Pak ap: RRQ boleh kalah sama tim manapun, asal jangan sama EVOS",pak ap rrq kalau sama tim mana asal jangan sama evos,0,safe,non-cyberbullying,0,0.5300732217573222
73,16:36 momen YSS ulti kena 3 orang,momen yss ulti orang,0,safe,non-cyberbullying,0,0.5300732217573222
74,"Ujin tipikal player pendiam dan pemalu.
Digameplay dia gmw diliat org dia yg paling nonjol.",ujin tipikal player diam malu digameplay gmw liat orang yang paling nonjol,0,safe,non-cyberbullying,0,0.5300732217573222
75,king erlan epic,king erlan epic,0,safe,non-cyberbullying,0,0.5300732217573222
76,fams are you ready:sunyii aowowkw,fams are you readysunyii aowowkw,0,safe,non-cyberbullying,0,0.5300732217573222
77,Haha udah kaya lawan partyan public😂,haha kaya lawan partyan public,0,safe,non-cyberbullying,0,0.5300732217573222
78,Akhir ny ujin main ini ni yg buat kemaren kalah coba kalo ujin dari kemaren main pasti ga bakal kalah,akhir ny ujin main ni buat kemaren kalau coba kalau ujin kemaren main tidak bakal kalau,0,safe,non-cyberbullying,0,0.5300732217573222
79,Uhuyyy,uhuyyy,0,safe,non-cyberbullying,0,0.5300732217573222
80,Mnt 9 yss lvl15 😂,mnt yss lvl,0,safe,non-cyberbullying,0,0.5300732217573222
81,EVOS jangan harap kalo mm nya masih erlan,evos jangan harap kalau mm kasih erlan,0,safe,non-cyberbullying,0,0.5300732217573222
82,Kata gue mslhnya cm di zunesh yg demen blunder. Sekali dibalikin ke si ujin lngsng keliatan perbedaan gameplay kan 😅 (walopun gameplay ujin masi suka kalah retri dibanding jungler tim lain),kata mslhnya cuma zunesh demen blunder sekali dibalikin si ujin lngsng liat beda gameplay walopun gameplay ujin mas suka kalau retri banding jungler tim,0,safe,non-cyberbullying,0,0.5300732217573222
83,Lane of down 6:31,lane of down,0,safe,non-cyberbullying,0,0.5300732217573222
84,lol malah maenin xorizo,lol malah maenin xorizo,0,safe,non-cyberbullying,0,0.5300732217573222
85,Rendyy mana woy 😮,rendyy mana woy,0,safe,non-cyberbullying,0,0.5300732217573222
86,Astaghfirullah pada judol,astaghfirullah judol,0,safe,non-cyberbullying,0,0.5300732217573222
87,Lah evos gomta ganti pemain sudah betul2 kayak kemaren lawan dewa mlh gati pemain lagi bobrok evos lama2,lah evos gomta main betul kemaren lawan dewa mlh gati main bobrok evos lama,0,safe,non-cyberbullying,0,0.5300732217573222
88,Udah paling bener sutsujin jngler good bles rrq🔥🫵,paling benar sutsujin jngler good bles rrq,0,safe,non-cyberbullying,0,0.5300732217573222
89,Udh gua bilang yg bermasalah itu si zuned,saya bilang masalah si zuned,0,safe,non-cyberbullying,0,0.5300732217573222
90,"Astagaaa si swallok ngapain main dstu, gda pemain lain apa?",astagaaa si swallok ngapain main dstu gda main apa,0,safe,non-cyberbullying,0,0.5300732217573222
91,Apa cmn gw yang ngeuh klo toy tiap pake granger tp tanpa skin lebih jagoo,apa cuma yang ngeuh kalau toy tiap pakai granger tanpa skin lebih jagoo,0,safe,non-cyberbullying,0,0.5300732217573222
92,Buzzer kemarin balik lgi di youtube MPL wkwk,buzzer kemarin balik di youtube mpl wkwk,0,safe,non-cyberbullying,0,0.5300732217573222
93,makanya jangan juned mulu akhh dimainin😂😂,makanya jangan juned mulu akhh dimainin,0,safe,non-cyberbullying,0,0.5300732217573222
94,sutsujin main yss di mpl berasa main rank,sutsujin main yss mpl asa main rank,0,safe,non-cyberbullying,0,0.5300732217573222
95,JANGAN JUDI GUYS!!!,jangan judi guys,0,safe,non-cyberbullying,0,0.5300732217573222
96,kuch evos gak bisa ngedraft kah,kuch evos bisa ngedraft,0,safe,non-cyberbullying,0,0.5300732217573222
97,"Anjir chants² Persija pada di pake 😅 ( Dewi Fortuna, Persija dulu baru kamu)",anjir chants persija di pakai dewi fortuna persija dulu baru kamu,1,minor_negative,non-cyberbullying,0,0.5300732217573222
98,Mbak juneng ga main ga seru,mbak juneng main seru,0,safe,non-cyberbullying,0,0.5300732217573222
99,Akhir nya main koh susutsujin,akhir main koh susutsujin,0,safe,non-cyberbullying,0,0.5300732217573222
100,"Rendi diganti,, sutjin dimainin.😂😂😂😂MPL lawakkk😂😂😂😂",rendi ganti sutjin dimaininmpl lawakkk,0,safe,non-cyberbullying,0,0.5300732217573222
101,Anak SONIC liat game ini pasti terasa hambar..... Engga woowww gituuuuu,anak sonic liat game pasti asa hambar engga woowww gituuuuu,0,safe,non-cyberbullying,0,0.5300732217573222
102,"Mending mainin ujin aja , biar seru leg 2 lawan onic , kalo zunes penis mah , gamenya ngantuk",mending mainin ujin biar seru leg lawan onic kalau zunes penis mah gamenya ngantuk,0,safe,non-cyberbullying,0,0.5300732217573222
103,"Kenapa di mainkan sutsujin, kan lebih jago jungkir barunya.",di main sutsujin lebih jago jungkir baru,0,safe,non-cyberbullying,0,0.5300732217573222
104,Kocak Claude,kocak claude,0,safe,non-cyberbullying,0,0.5300732217573222
105,Sendal nih mainnya nyebelin terus.   😂😂😂,sendal nih main nyebelin terus,0,safe,non-cyberbullying,0,0.5300732217573222
106,Ternyata zunesh nya tolol😂😂😂,nyata zunesh tolol,4,moderate_toxic,cyberbullying,1,8.81304347826087
107,Kangen lemon,kangen lemon,0,safe,non-cyberbullying,0,0.5300732217573222
108,"Nah ini menarik.   Ujin kan keren !!!!🎉🎉

Anda tuh spesialis runer up . 

Jgn mau kalah sama EVOS .. amanin posisi Runner up sejak dini .😂",nah tarik ujin keren tuh spesialis runer up jangan mau kalau sama evos amanin posisi runner up sejak dini,0,safe,non-cyberbullying,0,0.5300732217573222
109,HIDUP JOKOWI,hidup jokowi,0,safe,non-cyberbullying,0,0.5300732217573222
110,berisik bgt kingdom baru kuga game 1😂,berisik banget kingdom baru kuga game,0,safe,non-cyberbullying,0,0.5300732217573222
111,albert suru out aj,albert suru out,0,safe,non-cyberbullying,0,0.5300732217573222
112,lahhh rendy knapa diganti?,lahhh rendy knapa ganti,0,safe,non-cyberbullying,0,0.5300732217573222
113,Jelek bener gameplay evos. Bau2 ky turun mdl wkwk,jelek benar gameplay evos bau ky turun mdl wkwk,4,moderate_toxic,cyberbullying,1,8.81304347826087
114,Dyren otw onic,dyren otw onic,0,safe,non-cyberbullying,0,0.5300732217573222
115,Sia² beli sendal dan xorizo kecewa evos lawan RRQ lemah,sia beli sendal xorizo kecewa evos lawan rrq lemah,0,safe,non-cyberbullying,0,0.5300732217573222
116,"Evos kasihan sama rrq ,biar dapet point boyy",evos kasih sama rrq biar point boyy,0,safe,non-cyberbullying,0,0.5300732217573222
117,Suwelow beban di evos mending Rendy aja wkwkwk.. 😢,suwelow beban evos mending rendy wkwkwk,0,safe,non-cyberbullying,0,0.5300732217573222
118,Woee evos mna roam rendy,woee evos mna roam rendy,0,safe,non-cyberbullying,0,0.5300732217573222
119,"Kyy roam sekalas mpl mau inisiasi keliatan bgt sama musuhnya, kek bocah epic maen rank",kyy roam kalas mpl mau inisiasi liat banget sama musuh bocah epic maen rank,0,safe,non-cyberbullying,0,0.5300732217573222
120,Gw heran si kzqyut dapet ide dari mana gati sutsujin sama jung aneh,heran si kzqyut ide mana gati sutsujin sama jung aneh,0,safe,non-cyberbullying,0,0.5300732217573222
121,DYREEEEENNNNN MANA DYREEEEENN,dyreeeeennnnn mana dyreeeeenn,0,safe,non-cyberbullying,0,0.5300732217573222
122,Boikot dyf,boikot dyf,0,safe,non-cyberbullying,0,0.5300732217573222
123,Kok Rendy di ganti sama Xorizo,kok rendy nanti sama xorizo,0,safe,non-cyberbullying,0,0.5300732217573222
124,Xoryzo..anak emas pelatih yg notabene pecinta sejati RRQ. Ganti pelatih norak,xoryzoanak emas latih notabene cinta sejati rrq latih norak,0,safe,non-cyberbullying,0,0.5300732217573222
125,Gasabar gua liat roster skrng rrq vs Sonic apakah Sonic bakalan diayam ayamin lagi sama RRQ atau sebaliknya,gasabar liat roster skrng rrq vs sonic sonic bakal ayam ayamin sama rrq balik,0,safe,non-cyberbullying,0,0.5300732217573222
126,Kingdom vs Everybody,kingdom vs everybody,0,safe,non-cyberbullying,0,0.5300732217573222
127,SOnic lagi nyimak 🤗,sonic nyimak,0,safe,non-cyberbullying,0,0.5300732217573222
128,Hanya bisa jadi notifikasi 😂😅😂😅😂😅😂,bisa jadi notifikasi,0,safe,non-cyberbullying,0,0.5300732217573222
129,Badut mpl yg real badut tu EVOS sebenarnya wkwkwk team di goa gini ngapain di mpl,badut mpl real badut tu evos benar wkwkwk team goa gin ngapain mpl,0,safe,non-cyberbullying,0,0.5300732217573222
130,Akhirnya ujin mainnnn 🎉🎉,akhir ujin mainnnn,0,safe,non-cyberbullying,0,0.5300732217573222
131,mic casternya pake yang bagus sih,mic casternya pakai bagus sih,0,safe,non-cyberbullying,0,0.5300732217573222
132,Si Erlan ya bego,si erlan bego,4,moderate_toxic,cyberbullying,1,8.81304347826087
133,Rw,rw,0,safe,non-cyberbullying,0,0.5300732217573222
134,ez game,ez game,0,safe,non-cyberbullying,0,0.5300732217573222
135,Seneng kalo SUT sujij main,neng kalau sut sujij main,0,safe,non-cyberbullying,0,0.5300732217573222
136,udah dibilangin penyakitnya ada di kyy,dibilangin sakit di kyy,0,safe,non-cyberbullying,0,0.5300732217573222
137,Boleh si ujin lev 15 mnit 9,si ujin lev mnit,0,safe,non-cyberbullying,0,0.5300732217573222
138,Sisssttt🤫,sisssttt,0,safe,non-cyberbullying,0,0.5300732217573222
139,"Bahkan di lagu remix, ada sound effect P҉U҉L҉A҉U҉W҉I҉N҉ nyelip lucu.",di lagu remix sound effect pulauwin nyelip lucu,0,safe,non-cyberbullying,0,0.5300732217573222
140,Cici semahal itu?,cici mahal,0,safe,non-cyberbullying,0,0.5300732217573222
141,Sekarang semua timeline dipenuhi dengan 🅿︎🆄🅻︎🅰︎🆄︎🆆︎🅸︎🅽︎.,sekarang semua timeline penuh,0,safe,non-cyberbullying,0,0.5300732217573222
142,Sticker di laptop mahasiswa zaman now pasti ada ❝PULAUWIN❞.,sticker laptop mahasiswa zaman now ada pulauwin,0,safe,non-cyberbullying,0,0.5300732217573222
143,"Teman lama ngajak reuni, katanya semua udah main bareng P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟.",teman lama ngajak reuni kata semua main bareng pulauwin,0,safe,non-cyberbullying,0,0.5300732217573222
144,"Komentar netizen di IG, isinya pada bahas P͙U͙L͙A͙U͙W͙I͙N͙.",komentar netizen ig isi bahas pulauwin,0,safe,non-cyberbullying,0,0.5300732217573222
145,"Lihat orang jualan kaos di pasar, ada yang tulisannya 🅿︎︎︎︎🆄︎🅻︎🅰︎🆄︎🆆︎🅸︎🅽︎.",lihat orang jual kaos pasar yang tulis,0,safe,non-cyberbullying,0,0.5300732217573222
146,"Setiap nongkrong bareng teman, pasti ada bahasan 𝔓𝔘𝔏𝔄𝔘𝔚𝔌𝔑.",nongkrong bareng teman ada bahas,0,safe,non-cyberbullying,0,0.5300732217573222
147,"Di belakang mobil travel, ada stiker besar bertuliskan P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽.",belakang mobil travel stiker benar tulis pulauwin,0,safe,non-cyberbullying,0,0.5300732217573222
148,"Ada mural keren di tembok kampus, tulisannya ✧𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉✧.",mural keren tembok kamu tulis,0,safe,non-cyberbullying,0,0.5300732217573222
149,"Setiap buka Twitter, trending topic-nya gak jauh-jauh dari 🅿︎🆄🅻︎🅰︎🆄︎🆆︎🅸︎🅽︎.",bukan twitter trending topicnya jauhjauh,0,safe,non-cyberbullying,0,0.5300732217573222
150,Kalender meja teman kantor ada logo ❝PULAUWIN❞ kecil di sudutnya.,kalender meja teman kantor logo pulauwin kecil sudut,0,safe,non-cyberbullying,0,0.5300732217573222
151,Makasih VYN akhirnya RRQ bisa main bagus.,terima kasih vyn akhir rrq main bagus,0,safe,non-cyberbullying,0,0.5300732217573222
152,padahal cuman ingin liat rrq hancur gragra buang skyler gw,padahal cuma liat rrq hancur gragra buang skyler,0,safe,non-cyberbullying,0,0.5300732217573222
153,"Lagi ngopi di warung, orang sebelah ngobrolin P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟.",ngopi warung orang belah ngobrolin pulauwin,0,safe,non-cyberbullying,0,0.5300732217573222
154,"Menang kalah ,aku tetep dukung #evos 🎉",memang kalau aku tetep dukung,0,safe,non-cyberbullying,0,0.5300732217573222
155,Zunesh out,zunesh out,0,safe,non-cyberbullying,0,0.5300732217573222
156,ROAM EVOS ITU PERLU DI EVALUASI LAGI BNYAKAN BLUNDER DARI KEMARIN2 LAWAN DEWA,roam evos perlu evaluasi bnyakan blunder kemarin lawan dewa,0,safe,non-cyberbullying,0,0.5300732217573222
157,Muali dah peternak2 pada keluar 😂😂😂😂,mual ternak keluar,0,safe,non-cyberbullying,0,0.5300732217573222
158,Seharus nya di turnamen ga usah ada lord karna lord membantu tim bisa memenangkan pertandingan,harus di turnamen usah lord lord bantu tim menang tanding,0,safe,non-cyberbullying,0,0.5300732217573222
159,Akhirnya rrq terkoar setelah makan seblak dan dengar aung macan😅😅,akhir rrq koar akan seblak dengan aung macan,0,safe,non-cyberbullying,0,0.5300732217573222
160,😜👆,,0,safe,non-cyberbullying,0,0.5300732217573222
161,"kalau onic season lalu : yeb tolongin yeb
rrq season ini : jin tolongin jin",kalau onic season lalu yeb tolongin yeb rrq season jin tolongin jin,0,safe,non-cyberbullying,0,0.5300732217573222
162,Ini rrq yang kita kenal sutsujin main ngeriii,rrq kita kenal sutsujin main ngeriii,0,safe,non-cyberbullying,0,0.5300732217573222
163,Albert di rrq dan evos dua² nya kalah lawan sutsujin,albert rrq evos ya kalau lawan sutsujin,0,safe,non-cyberbullying,0,0.5300732217573222
164,Spirit 9KG...mad love Artur🎉🎉❤,spirit kgmad love artur,0,safe,non-cyberbullying,0,0.5300732217573222
165,"Memalukan, kalah sama RRQ",malu kalau sama rrq,0,safe,non-cyberbullying,0,0.5300732217573222
166,GG rrq,gg rrq,0,safe,non-cyberbullying,0,0.5300732217573222
167,KOCAKK vynn draft nya😂😂,kocakk vynn draft,0,safe,non-cyberbullying,0,0.5300732217573222
168,"ERLAN poke BEBAN EVOS

Kasian banget liat Albert 😢",erlan poke beban evos kasi banget liat albert,3,moderate_toxic,non-cyberbullying,0,0.5300732217573222
169,Waaaahhh menang nih RRQ 😂,waaaahhh memang nih rrq,0,safe,non-cyberbullying,0,0.5300732217573222
170,"Nah ini baru bnran rrq, susunan player yang dlu lebih baik drpd yang kemarin²",nah baru bnran rrq susun player dlu lebih baik drpd kemarin,0,safe,non-cyberbullying,0,0.5300732217573222
171,Dri kmrin² sitsujin dimainin kan enak lihat nya,kmrin sitsujin dimainin enak lihat,0,safe,non-cyberbullying,0,0.5300732217573222
172,Ini turnamen ape custom kok gampang banget sih dek 😂😂😂😂😂,turnamen ape custom kok gampang banget sih dek,0,safe,non-cyberbullying,0,0.5300732217573222
173,Erlan tanpa Granger = erlin 😂,erlan granger erlin,0,safe,non-cyberbullying,0,0.5300732217573222
174,onic dyren kapan di announcement?,onic dyren kapan announcement,0,safe,non-cyberbullying,0,0.5300732217573222
175,#VIVAROAR,,0,safe,non-cyberbullying,0,0.5300732217573222
176,Udah paling bener Rendy yg main malah di ganti🙄,paling benar rendy main malah nanti,0,safe,non-cyberbullying,0,0.5300732217573222
177,kok xorizo sih,kok xorizo sih,0,safe,non-cyberbullying,0,0.5300732217573222
178,Zunest out dahh bagusan sutsujin,zunest out dahh bagus sutsujin,0,safe,non-cyberbullying,0,0.5300732217573222
179,Udh di bilang mainin sutsujin,di bilang mainin sutsujin,0,safe,non-cyberbullying,0,0.5300732217573222
180,Uchiha Veye'eng,uchiha veyeeng,0,safe,non-cyberbullying,0,0.5300732217573222
181,Bener bener hina ini 😂,benar benar hina,4,moderate_toxic,cyberbullying,1,8.81304347826087
182,Semenjak gabung RRQ SUTSUJIN adalah jungler Indonesia yg paling sangat mengerikan dan sangat kuat versi saya. Cuma sayang tim nya sering blunder.,semenjak gabung rrq sutsujin jungler indonesia paling sangat keri sangat kuat versi cuma tim sering blunder,0,safe,non-cyberbullying,0,0.5300732217573222
183,EVOS is back 🗿,evos is back,0,safe,non-cyberbullying,0,0.5300732217573222
184,Skylar kata Caster,skylar kata caster,0,safe,non-cyberbullying,0,0.5300732217573222
185,"Roar :""v",roar v,0,safe,non-cyberbullying,0,0.5300732217573222
186,"Evos aja yg lemah, bukan RRQ yg wah",evos lemah bukan rrq yang wah,0,safe,non-cyberbullying,0,0.5300732217573222
