id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying
21,@billaliefseptian494,El blunder rinz,el blunder rinz,el blunder rinz,el blunder rinz,el blunder rinz,0,safe,non-cyberbullying,,0
22,@RaziqSahliwaldan-r1z,Game boring lebih menantang NAVI VS ONIC 😂,game boring lebih menantang navi vs onic,game boring lebih menantang navi vs onic,game boring lebih menantang navi vs onic,game boring lebih tantang navi vs onic,0,safe,non-cyberbullying,,0
23,@ze_tsu163,#blockrinz,,,,,0,safe,non-cyberbullying,,0
24,@HendrikAr-ei9ll,"Gak usah komen lah cil ujung""nya Manas""in lawan atau pun mendewa""kan tim sendiri.. diliat bocil banget sifat elu..",gak usah komen lah cil ujungnya manasin lawan atau pun mendewakan tim sendiri diliat bocil banget sifat elu,tidak usah komen lah cil ujungnya manasin lawan atau pun mendewakan tim sendiri diliat bocil banget sifat kamu,usah komen lah cil ujungnya manasin lawan pun mendewakan tim sendiri diliat bocil banget sifat kamu,usah komen lah cil ujung manasin lawan pun dewa tim sendiri liat bocil banget sifat kamu,0,safe,non-cyberbullying,,0
25,@HendrikAr-ei9ll,"Gua aja kingdom liat kagak panas kagak jelek""in tim, liat kopi+rokok+nyantai itulah sifatt dewasa.. kalah menang respack semua tim gua. Oke...",gua aja kingdom liat kagak panas kagak jelekin tim liat kopirokoknyantai itulah sifatt dewasa kalah menang respack semua tim gua oke,saya saja kingdom liat kagak panas kagak jelekin tim liat kopirokoknyantai itulah sifatt dewasa kalau memang respack semua tim saya oke,saja kingdom liat kagak panas kagak jelekin tim liat kopirokoknyantai sifatt dewasa kalau memang respack semua tim oke,saja kingdom liat kagak panas kagak jelekin tim liat kopirokoknyantai sifatt dewasa kalau memang respack semua tim oke,0,safe,non-cyberbullying,,0
26,@HendrikAr-ei9ll,"JANGAN BISA BACOTT DAN JELEK""IN TIM.. KALO BISANYA BEGITU MAIN AJA SANA SENDIRI EMANG BISA ELU ???",jangan bisa bacott dan jelekin tim kalo bisanya begitu main aja sana sendiri emang bisa elu,jangan bisa bacott dan jelekin tim kalau bisanya begitu main saja sana sendiri memang bisa kamu,jangan bacott jelekin tim kalau bisanya main sana sendiri memang kamu,jangan bacott jelekin tim kalau bisa main sana sendiri memang kamu,0,safe,non-cyberbullying,,0
27,@Xinemashort7,Awokwok badut tolol,awokwok badut tolol,awokwok badut tolol,awokwok badut tolol,awokwok badut tolol,4,moderate_toxic,cyberbullying,tolol(personal:4),1
28,@fikriaudytia1235,Toy maen aman aja akwkwkwk,toy maen aman aja akwkwkwk,toy maen aman saja akwkwkwk,toy maen aman akwkwkwk,toy maen aman akwkwkwk,0,safe,non-cyberbullying,,0
29,@Suka_otomotif92,Rrq tanpa skylar ga ada yg gendong yg jago cuma lerr,rrq tanpa skylar ga ada yg gendong yg jago cuma lerr,rrq tanpa skylar tidak ada yang gendong yang jago cuma lerr,rrq skylar ada gendong jago cuma lerr,rrq skylar ada gendong jago cuma lerr,0,safe,non-cyberbullying,,0
30,@arishem3707,"pharsa mainnya pasif selalu mati di base, fanny cuma bisa split push",pharsa mainnya pasif selalu mati di base fanny cuma bisa split push,pharsa mainnya pasif selalu mati di base fanny cuma bisa split push,pharsa mainnya pasif selalu mati base fanny cuma split push,pharsa main pasif selalu mati base fanny cuma split push,5,moderate_toxic,cyberbullying,mati(extreme:5),1
31,@fanscr7-n7g,7:01 si kumar unjuk skill depan Midlane jago 🤘😜🤙,si kumar unjuk skill depan midlane jago,si kumar untuk skill depan midlane jago,si kumar skill depan midlane jago,si mar skill depan midlane jago,0,safe,non-cyberbullying,,0
32,@hariszaky890,"Meski gua bukan kingdom tapi gua suka legenda RRQ Housi ""Lemon"" siganteng kalem ..",meski gua bukan kingdom tapi gua suka legenda rrq housi lemon siganteng kalem,meski saya bukan kingdom tapi saya suka legenda rrq housi lemon siganteng kalem,meski bukan kingdom saya suka legenda rrq housi lemon siganteng kalem,meski bukan kingdom saya suka legenda rrq housi lemon siganteng kalem,0,safe,non-cyberbullying,,0
33,@SurabayaCity-f6x9y,Knp g ad pnontonn,knp g ad pnontonn,knp g ad pnontonn,knp g ad pnontonn,knp g ad pnontonn,0,safe,non-cyberbullying,,0
34,@MuhammadBasithNst,Itu jijik kli gw lihat cara main Fanny nya,itu jijik kli gw lihat cara main fanny nya,itu jijik kli saya lihat cara main fanny ya,jijik kli lihat cara main fanny,jijik kli lihat cara main fanny,0,safe,non-cyberbullying,,0
35,@japrakneniuye5221,Good,good,good,good,good,0,safe,non-cyberbullying,,0
36,@AkhdanMuazamPandya,lah si zunesh kenapa beli 2item itu lol,lah si zunesh kenapa beli item itu lol,lah si zunesh kenapa beli item itu lol,lah si zunesh beli item lol,lah si zunesh beli item lol,0,safe,non-cyberbullying,,0
37,@rafifauzan5065,Fany cmn 2 kabel a0aan coba,fany cmn kabel aaan coba,fany cuma kabel aaan coba,fany cuma kabel aaan coba,fany cuma kabel aaan coba,0,safe,non-cyberbullying,,0
38,@rafifauzan5065,"Gua udah pernah komen diig RRQ langsung buatt mainin sujin aja krn zunesh masih perlu banyak belajar masih anak2 ini,,,,jgn smpe MPL zunesh main siih",gua udah pernah komen diig rrq langsung buatt mainin sujin aja krn zunesh masih perlu banyak belajar masih anak inijgn smpe mpl zunesh main siih,saya sudah pernah komen diig rrq langsung buatt mainin sujin saja karena zunesh kasih perlu banyak belajar kasih anak inijgn smpe mpl zunesh main siih,sudah pernah komen diig rrq langsung buatt mainin sujin karena zunesh kasih perlu banyak belajar kasih anak inijgn smpe mpl zunesh main siih,sudah pernah komen diig rrq langsung buatt mainin sujin karena zunesh kasih perlu banyak ajar kasih anak inijgn smpe mpl zunesh main siih,0,safe,non-cyberbullying,,0
39,@CrystronSulf,"mid nya mesti ganti sih RRQ, nggak guna jir",mid nya mesti ganti sih rrq nggak guna jir,mid ya mesti nanti sih rrq nggak guna jir,mid mesti sih rrq guna jir,mid mesti sih rrq guna jir,0,safe,non-cyberbullying,,0
40,@Bonanzzatexas,Ererkyu cangkang doang 😂,ererkyu cangkang doang,ererkyu cangkang orang,ererkyu cangkang orang,ererkyu cangkang orang,0,safe,non-cyberbullying,,0
41,@budimurtopochannel8258,Lutpi man of the match sejati di game ini ...,lutpi man of the match sejati di game ini,lutpi man of the match sejati di game ini,lutpi man of the match sejati game,lutpi man of the match sejati game,0,safe,non-cyberbullying,,0
42,@IlhamPending,Kemarin kemarin mana nih yg banding banding in skylar sama toyy?😅,kemarin kemarin mana nih yg banding banding in skylar sama toyy,kemarin kemarin mana nih yang banding banding in skylar sama toyy,kemarin kemarin mana nih banding banding in skylar sama toyy,kemarin kemarin mana nih banding banding in skylar sama toyy,0,safe,non-cyberbullying,,0
43,@RickySomantri,Onic vs ranked evic ini mh 🤣,onic vs ranked evic ini mh,onic vs ranked evic ini mh,onic vs ranked evic mh,onic vs ranked evic mh,0,safe,non-cyberbullying,,0
44,@diwah202,lutphi matang,lutphi matang,lutphi matang,lutphi matang,lutphi matang,0,safe,non-cyberbullying,,0
45,@DenisLexay,Izrail Xinn 😢,izrail xinn,izrail xinn,izrail xinn,izrail xinn,0,safe,non-cyberbullying,,0
46,@dendennasruloh5251,"Lagi"" Kalah draft si kata gua mah",lagi kalah draft si kata gua mah,lagi kalau draft si kata saya mah,kalau draft si kata mah,kalau draft si kata mah,0,safe,non-cyberbullying,,0
47,@azisfathur2071,Lupi seperti nampol nyamuk 😂,lupi seperti nampol nyamuk,lupi seperti nampol nyamuk,lupi nampol nyamuk,lupi nampol nyamuk,0,safe,non-cyberbullying,,0
48,@ayobertanitv,"1 yang pasti, yang buat onic tak terkalahkan adalah sanz, kairi, kiboy 🤗",yang pasti yang buat onic tak terkalahkan adalah sanz kairi kiboy,yang pasti yang buat onic tak terkalahkan adalah sanz kairi kiboy,pasti buat onic tak terkalahkan sanz kairi kiboy,pasti buat onic tak kalah sanz kairi kiboy,0,safe,non-cyberbullying,,0
49,@Fadil-l2j,Kok yang mvp lutpi harusnya kairi dong gold nya lebih banyak,kok yang mvp lutpi harusnya kairi dong gold nya lebih banyak,kok yang mvp lutpi harusnya kairi dong gold ya lebih banyak,kok mvp lutpi harusnya kairi dong gold lebih banyak,kok mvp lutpi harus kairi dong gold lebih banyak,0,safe,non-cyberbullying,,0
50,@Roy.1zt,"4 ngincer Skylar
1orang pengen nge solo kill sanz",ngincer skylar orang pengen nge solo kill sanz,ngincer skylar orang pengen nge solo kill sanz,ngincer skylar orang pengen nge solo kill sanz,ngincer skylar orang ken nge solo kill sanz,0,safe,non-cyberbullying,,0
51,@Saber_Onimaru861,"Jadi ga seru game nya rrg vs onic karna ga ada greget nya dari RRQ jadi ga semangat lagi main mlbb, jadi seperti ga ada penyemangat main lagi RRQ nya lemah gini😂, kayak nya pensiun di season ini deh saya main ML 😂🏆⚰️🪦",jadi ga seru game nya rrg vs onic karna ga ada greget nya dari rrq jadi ga semangat lagi main mlbb jadi seperti ga ada penyemangat main lagi rrq nya lemah gini kayak nya pensiun di season ini deh saya main ml,jadi tidak seru game ya rrg vs onic karena tidak ada greget ya dari rrq jadi tidak semangat lagi main mlbb jadi seperti tidak ada penyemangat main lagi rrq ya lemah gini seperti ya pensiun di season ini deh saya main ml,jadi seru game rrg vs onic greget dari rrq jadi tidak semangat main mlbb jadi tidak penyemangat main rrq lemah gini ya pensiun season deh main ml,jadi seru game rrg vs onic greget dari rrq jadi tidak semangat main mlbb jadi tidak semangat main rrq lemah gin ya pensiun season deh main ml,0,safe,non-cyberbullying,,0
52,@onic-e8y,Maaf gue fans skylar,maaf gue fans skylar,maaf saya fans skylar,maaf fans skylar,maaf fans skylar,0,safe,non-cyberbullying,,0
53,@bangmat267cannel,"Dulu suka rrq karna ada skylar, sekarang suka onic karna ada skylar 👍",dulu suka rrq karna ada skylar sekarang suka onic karna ada skylar,dulu suka rrq karena ada skylar sekarang suka onic karena ada skylar,dulu suka rrq ada skylar sekarang suka onic ada skylar,dulu suka rrq ada skylar sekarang suka onic ada skylar,0,safe,non-cyberbullying,,0
54,@arifbudisusanto778,Itu yss lepas,itu yss lepas,itu yss lepas,yss lepas,yss lepas,0,safe,non-cyberbullying,,0
55,@ZiyanRa,raja halu lagi unjuk gigi tpi g punya gigi,raja halu lagi unjuk gigi tpi g punya gigi,raja halu lagi untuk gigi tapi g punya gigi,raja halu untuk gigi g punya gigi,raja halu untuk gigi g punya gigi,0,safe,non-cyberbullying,,0
56,@MuhammadAbdulkarim-u6x,Match ini kok toy kya maen brawl ya di atas mulu.. Idiot bngt,match ini kok toy kya maen brawl ya di atas mulu idiot bngt,match ini kok toy ya maen brawl ya di atas mulu idiot banget,match kok toy maen brawl di atas mulu idiot banget,match kok toy maen brawl di atas mulu idiot banget,4,moderate_toxic,cyberbullying,idiot(personal:4),1
57,@idonotsleep46,"Mulai dari era ny vyn, rrq sangat membudaya dengan feeder.",mulai dari era ny vyn rrq sangat membudaya dengan feeder,mulai dari era ny vyn rrq sangat membudaya dengan feeder,mulai era ny vyn rrq sangat membudaya feeder,mulai era ny vyn rrq sangat budaya feeder,3,moderate_toxic,non-cyberbullying,feeder(gaming:3),0
58,@silverrain347,Apalah pick uranus bego bgt,apalah pick uranus bego bgt,apalah pick uranus bego banget,apalah pick uranus bego banget,apa pick uranus bego banget,4,moderate_toxic,cyberbullying,bego(personal:4),1
59,@Arkan1-y6,hidup onic❤🎉,hidup onic,hidup onic,hidup onic,hidup onic,0,safe,non-cyberbullying,,0
60,@VikaKahyzia-v1c6d,anjim Rinz mati dalam basenya sendiri 😂,anjim rinz mati dalam basenya sendiri,anjing rinz mati dalam basenya sendiri,anjing rinz mati basenya sendiri,anjing rinz mati basenya sendiri,9,extreme_cyberbullying,cyberbullying,anjing(personal:4); mati(extreme:5),1
61,@KhairulIlham-fm4rf,"Balikin team RRQ yg dlu, Sutsujin, Toy, Dyren, Rinz, dan Idok, gk usah di ganti yg lain",balikin team rrq yg dlu sutsujin toy dyren rinz dan idok gk usah di ganti yg lain,balikin team rrq yang dlu sutsujin toy dyren rinz dan idok tidak usah di nanti yang lain,balikin team rrq dlu sutsujin toy dyren rinz idok usah nanti lain,balikin team rrq dlu sutsujin toy dyren rinz idok usah nanti lain,0,safe,non-cyberbullying,,0
62,@IwanSulaiman-y1x,Buang aja si rinz beban😊,buang aja si rinz beban,buang saja si rinz beban,buang si rinz beban,buang si rinz beban,0,safe,non-cyberbullying,,0
63,@DafaDafaaa-n5u,Vix onic win 19:25,vix onic win,vix onic win,vix onic win,vix onic win,0,safe,non-cyberbullying,,0
64,@RestuPriaguna,Di recal recal Ama sanz,di recal recal ama sanz,di recal recal sama sanz,recal recal sama sanz,recal recal sama sanz,0,safe,non-cyberbullying,,0
65,@KaizanputraKurniawan,Rrq=hama,rrqhama,rrqhama,rrqhama,rrqhama,0,safe,non-cyberbullying,,0
66,@KaizanputraKurniawan,Pesona tim gk jago,pesona tim gk jago,pesona tim tidak jago,pesona tim jago,pesona tim jago,0,safe,non-cyberbullying,,0
67,@evannudin-rp8cl,Rasakan kekejaman mantan,rasakan kekejaman mantan,rasakan kekejaman mantan,rasakan kekejaman mantan,rasa kejam mantan,0,safe,non-cyberbullying,,0
68,@cloryde,17:18  itu midlane jago ngapain diem doang,itu midlane jago ngapain diem doang,itu midlane jago ngapain diem orang,midlane jago ngapain diem orang,midlane jago ngapain diem orang,0,safe,non-cyberbullying,,0
69,@jerrygummy3207,Sorry kok gak di stage main nya?,sorry kok gak di stage main nya,sorry kok tidak di stage main ya,sorry kok di stage main,sorry kok di stage main,0,safe,non-cyberbullying,,0
70,@reickyamir6659,Zunesh ngapain 😂,zunesh ngapain,zunesh ngapain,zunesh ngapain,zunesh ngapain,0,safe,non-cyberbullying,,0
71,@KakkMawar,Gak kebayang di onic ad idok,gak kebayang di onic ad idok,tidak kebayang di onic ad idok,kebayang onic ad idok,bayang onic ad idok,0,safe,non-cyberbullying,,0
72,@kuswantoro_,rrrq badut yang ga terima tuolol,rrrq badut yang ga terima tuolol,rrrq badut yang tidak terima tuolol,rrrq badut tidak terima tuolol,rrrq badut tidak terima tuolol,0,safe,non-cyberbullying,,0
73,@mheriprasetya3983,Rinz amatir bngt,rinz amatir bngt,rinz amatir banget,rinz amatir banget,rinz amatir banget,0,safe,non-cyberbullying,,0
74,@akusiapayaya,paste4d gila paling mantap pokok nya,pasted gila paling mantap pokok nya,pasted gila paling mantap pokok ya,pasted gila paling mantap pokok,pasted gila paling mantap pokok,0,safe,non-cyberbullying,,0
75,@HendroStreaming,Ga ngeliat nilai plus zunesh gw mending sutsujin,ga ngeliat nilai plus zunesh gw mending sutsujin,tidak ngeliat nilai plus zunesh saya mending sutsujin,ngeliat nilai plus zunesh mending sutsujin,ngeliat nilai plus zunesh mending sutsujin,0,safe,non-cyberbullying,,0
76,@Kaizen1-z8d,"roster terbapuk, kecewa roster seblumnya udh ada improv malah digantj",roster terbapuk kecewa roster seblumnya udh ada improv malah digantj,roster terbapuk kecewa roster seblumnya sudah ada improv malah digantj,roster terbapuk kecewa roster seblumnya ada improv malah digantj,roster terbapuk kecewa roster seblumnya ada improv malah digantj,0,safe,non-cyberbullying,,0
77,@fajrmuslm,gg kairi dan lutpii,gg kairi dan lutpii,gg kairi dan lutpii,gg kairi lutpii,gg kairi lutpii,0,safe,non-cyberbullying,,0
78,@naufalzaky7355,Wkwkwk Ererqe 😂,wkwkwk ererqe,wkwkwk ererqe,wkwkwk ererqe,wkwkwk ererqe,0,safe,non-cyberbullying,,0
79,@Ackermann_mlbb,Lutpi Bankai💀,lutpi bankai,lutpi bankai,lutpi bankai,lutpi bankai,0,safe,non-cyberbullying,,0
80,@theprofesor19809,Akhirnya bisa membungkam mulut2 fans ppq 😅😅😅 banyangkan lw kalah syalar bakalan di buly habis2san,akhirnya bisa membungkam mulut fans ppq banyangkan lw kalah syalar bakalan di buly habissan,akhirnya bisa membungkam mulut fans ppq banyangkan lw kalau syalar bakalan di buly habissan,akhirnya membungkam mulut fans ppq banyangkan lw kalau syalar bakalan buly habissan,akhir bungkam mulut fans ppq banyangkan lw kalau syalar bakal buly habissan,0,safe,non-cyberbullying,,0
81,@mosandy2073,Bahagia itu PHILIPINA,bahagia itu philipina,bahagia itu philipina,bahagia philipina,bahagia philipina,0,safe,non-cyberbullying,,0
82,@NEMO-CRZ,"Yg cacat MID nya yg di rombak JUGLER nya 😂😂😂

Turot pharsa nyeeet!!!
RINZ OUT",yg cacat mid nya yg di rombak jugler nya turot pharsa nyeeet rinz out,yang cacat mid ya yang di rombak jugler ya turot pharsa nyeeet rinz out,cacat mid yang rombak jugler turot pharsa nyeeet rinz out,cacat mid yang rombak jugler turot pharsa nyeeet rinz out,4,moderate_toxic,cyberbullying,cacat(personal:4),1
83,@tandibone8488,Kenapa ujin gak di turunkan shi,kenapa ujin gak di turunkan shi,kenapa ujin tidak di turunkan shi,ujin di turunkan shi,ujin di turun shi,0,safe,non-cyberbullying,,0
84,@zzeumbara11,Beda kelas,beda kelas,beda kelas,beda kelas,beda kelas,0,safe,non-cyberbullying,,0
85,@PahriRamadan-r7d,"Gmn g kuat, orang mage nya sans, jung nya kairi, mm nya skylar",gmn g kuat orang mage nya sans jung nya kairi mm nya skylar,bagaimana g kuat orang mage ya sans jung ya kairi mm ya skylar,bagaimana g kuat orang mage sans jung kairi mm skylar,bagaimana g kuat orang mage sans jung kairi mm skylar,0,safe,non-cyberbullying,,0
86,@duckymfs5450,the real Fanny dongeng (songo cengeng),the real fanny dongeng songo cengeng,the real fanny dongeng songo cengeng,the real fanny dongeng songo cengeng,the real fanny dongeng songo cengeng,0,safe,non-cyberbullying,,0
87,@Jeki-AR,Makasi onic skaylarnya di mainin trus moga menang,makasi onic skaylarnya di mainin trus moga menang,makasi onic skaylarnya di mainin terus moga memang,makasi onic skaylarnya mainin terus moga memang,makas onic skaylarnya mainin terus moga memang,0,safe,non-cyberbullying,,0
88,@YanuArsad-t6c,Game idiot from moonton,game idiot from moonton,game idiot from moonton,game idiot from moonton,game idiot from moonton,4,moderate_toxic,cyberbullying,idiot(personal:4),1
89,@Ancah-lw5iq,toy ayam di hadapan skylarr,toy ayam di hadapan skylarr,toy ayam di hadapan skylarr,toy ayam hadapan skylarr,toy ayam hadap skylarr,0,safe,non-cyberbullying,,0
90,@mujixda3612,Jugler rrq masih magang .. mending sutsujun,jugler rrq masih magang mending sutsujun,jugler rrq kasih magang mending sutsujun,jugler rrq kasih magang mending sutsujun,jugler rrq kasih magang mending sutsujun,0,safe,non-cyberbullying,,0
91,@irfanmohrizal9926,Riiiiiiiiinzzzzz😂😂😂,riiiiiiiiinzzzzz,riiiiiiiiinzzzzz,riiiiiiiiinzzzzz,riiiiiiiiinzzzzz,0,safe,non-cyberbullying,,0
92,@mlmomento-1,Rrq bot banget,rrq bot banget,rrq bot banget,rrq bot banget,rrq bot banget,0,safe,non-cyberbullying,,0
93,@KumbangPerindu,RRQ butuh hpr yg jago bukn kyk gini,rrq butuh hpr yg jago bukn kyk gini,rrq butuh hpr yang jago bukan kyk gini,rrq butuh hpr jago bukan kyk gini,rrq butuh hpr jago bukan kyk gin,0,safe,non-cyberbullying,,0
94,@AskaFatir-q7e,Bubar bubar😂 ppq,bubar bubar ppq,bubar bubar ppq,bubar bubar ppq,bubar bubar ppq,0,safe,non-cyberbullying,,0
95,@liuliu7605,"SKYLAR PENGKHIANAT RRQ ,Liat Muka nya aja Menjijikan 😂😂",skylar pengkhianat rrq liat muka nya aja menjijikan,skylar pengkhianat rrq liat muka ya saja menjijikan,skylar pengkhianat rrq liat muka saja menjijikan,skylar khianat rrq liat muka saja jijik,0,safe,non-cyberbullying,,0
96,@vieweryoutube6677,kok itu gk di stage ya mainnya?,kok itu gk di stage ya mainnya,kok itu tidak di stage ya mainnya,kok tidak stage mainnya,kok tidak stage main,0,safe,non-cyberbullying,,0
97,@derryanggaraputra4438,"Jungler baru lebih gajelas coii ,",jungler baru lebih gajelas coii,jungler baru lebih gajelas coii,jungler baru lebih gajelas coii,jungler baru lebih gajelas coii,0,safe,non-cyberbullying,,0
98,@wendykurniawan4687,Rins ya poke,rins ya poke,rins ya poke,rins poke,rins poke,0,safe,non-cyberbullying,,0
99,@badowiogleng5707,"RRQ - Main Rank
Onic - Pro International

Gak tau mau komen apalg???
Emang beda kelas sekrang 😅, bumi dan langit",rrq main rank onic pro international gak tau mau komen apalg emang beda kelas sekrang bumi dan langit,rrq main rank onic pro international tidak tahu mau komen apalg memang beda kelas sekarang bumi dan langit,rrq main rank onic pro international tahu mau komen apalg memang beda kelas sekarang bumi langit,rrq main rank onic pro international tahu mau komen apalg memang beda kelas sekarang bumi langit,0,safe,non-cyberbullying,,0
100,@dwiwidodo7519,Lutpi nyapu SAMPAH,lutpi nyapu sampah,lutpi nyapu sampai,lutpi nyapu,lutpi nyapu,0,safe,non-cyberbullying,,0
101,@asep-yn9lc,Suren wee RRQ qontol,suren wee rrq qontol,suren wee rrq kontol,suren wee rrq kontol,suren wee rrq kontol,5,moderate_toxic,cyberbullying,kontol(extreme:5),1
102,@AryaNugrahaImanuel,Onic gg banget uyyy 😎😎😎,onic gg banget uyyy,onic gg banget uyyy,onic gg banget uyyy,onic gg banget uyyy,0,safe,non-cyberbullying,,0
103,@galuhddragon4107,Lokal,lokal,lokal,lokal,lokal,0,safe,non-cyberbullying,,0
104,@dennyxyz6,9:16,,,,,0,safe,non-cyberbullying,,0
105,@akusiapa2742,PPQ mode karantina 3 kata lucu😜👆,ppq mode karantina kata lucu,ppq mode karantina kata lucu,ppq mode karantina kata lucu,ppq mode karantina kata lucu,0,safe,non-cyberbullying,,0
106,@RendiPro-y6u,Rins seperti palyer epik asal buka ulti di tengah rumput tanpa pikir panjang badut,rins seperti palyer epik asal buka ulti di tengah rumput tanpa pikir panjang badut,rins seperti palyer epik asal bukan ulti di tengah rumput tanpa pikir panjang badut,rins palyer epik asal bukan ulti tengah rumput pikir panjang badut,rins palyer epik asal bukan ulti tengah rumput pikir panjang badut,0,safe,non-cyberbullying,,0
107,@RendiPro-y6u,Rins seperti palyer epik asal buka ulti di tengah rumput tanpa pikir panjang badut,rins seperti palyer epik asal buka ulti di tengah rumput tanpa pikir panjang badut,rins seperti palyer epik asal bukan ulti di tengah rumput tanpa pikir panjang badut,rins palyer epik asal bukan ulti tengah rumput pikir panjang badut,rins palyer epik asal bukan ulti tengah rumput pikir panjang badut,0,safe,non-cyberbullying,,0
108,@knowledgetoshare4061,Zunesh siapa anjr?,zunesh siapa anjr,zunesh siapa anjr,zunesh siapa anjr,zunesh siapa anjr,0,safe,non-cyberbullying,,0
109,@wahyuzola4456,Ini RRQ LU SEKARANG PAK AP,ini rrq lu sekarang pak ap,ini rrq kamu sekarang pak ap,rrq kamu sekarang pak ap,rrq kamu sekarang pak ap,0,safe,non-cyberbullying,,0
