id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying,sample_weight
12,@alfinwirapratamaalfin1265,rrq,rrq,rrq,rrq,rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
13,@novalval2308,Out rinz,out rinz,out rinz,out rinz,out rinz,0,safe,non-cyberbullying,,0,0.5300732217573222
14,@AD_Champions,Rinz ga ada kata bijak lagi kah 🤣🤣,rinz ga ada kata bijak lagi kah,rinz tidak ada kata bijak lagi kah,rinz ada kata bijak kah,rinz ada kata bijak kah,0,safe,non-cyberbullying,,0,0.5300732217573222
15,@SyauqiMrp,Ya mudah-mudahan la di akhir season 16 nanti ..rrq tu GK jdi time lawak lgi...soal ny 2 x finnal ya kan..😂😂😂😂,ya mudahmudahan la di akhir season nanti rrq tu gk jdi time lawak lgisoal ny x finnal ya kan,ya mudahmudahan la di akhir season nanti rrq tu tidak jadi time lawak lgisoal ny x finnal ya akan,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,0,safe,non-cyberbullying,,0,0.5300732217573222
16,@SyauqiMrp,Di rrq tu yg goblok tu pak apek...rrq tu sebener nya dri season14 GK perlu yg nama nya ..rombak time ..yg perlu itu..rombak mental tim dan belajar dari kekalahan ...,di rrq tu yg goblok tu pak apekrrq tu sebener nya dri season gk perlu yg nama nya rombak time yg perlu iturombak mental tim dan belajar dari kekalahan,di rrq tu yang goblok tu pak apekrrq tu sebener ya dari season tidak perlu yang nama ya rombak time yang perlu iturombak mental tim dan belajar dari kekalahan,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim belajar dari kekalahan,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim ajar dari kalah,4,moderate_toxic,cyberbullying,goblok(personal:4),1,8.81304347826087
17,@anandaandroid1052,Vyn? Dia jadi coach sekarang?,vyn dia jadi coach sekarang,vyn dia jadi coach sekarang,vyn jadi coach sekarang,vyn jadi coach sekarang,0,safe,non-cyberbullying,,0,0.5300732217573222
18,@AlifXsatoru,Evos bot,evos bot,evos bot,evos bot,evos bot,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.5300732217573222
19,@ahmadbukori4530,Parah ini,parah ini,parah ini,parah,parah,1,minor_negative,non-cyberbullying,parah(negative:1),0,0.5300732217573222
20,@zaroota.s.p6210,Coach EVOS  musuh dalam selimut kocak bner,coach evos musuh dalam selimut kocak bner,coach evos musuh dalam selimut kocak bner,coach evos musuh selimut kocak bner,coach evos musuh selimut kocak bner,0,safe,non-cyberbullying,,0,0.5300732217573222
21,@rendyrasyid2789,Sendal kenapa masih dipertahankan ya epos epos,sendal kenapa masih dipertahankan ya epos epos,sendal kenapa kasih dipertahankan ya epos epos,sendal kasih dipertahankan epos epos,sendal kasih tahan epos epos,0,safe,non-cyberbullying,,0,0.5300732217573222
22,@AgathanKrisna,Lucunya evos udh tau rrq snowbol malah war terus 😄,lucunya evos udh tau rrq snowbol malah war terus,lucunya evos sudah tahu rrq snowbol malah war terus,lucunya evos tahu rrq snowbol malah war terus,lucu evos tahu rrq snowbol malah war terus,0,safe,non-cyberbullying,,0,0.5300732217573222
23,@antowwahyu1050,Kasian albertt berusaha sendiri,kasian albertt berusaha sendiri,kasian albertt berusaha sendiri,kasian albertt berusaha sendiri,kasi albertt usaha sendiri,0,safe,non-cyberbullying,,0,0.5300732217573222
24,@antowwahyu1050,Gabakal juara rrq 100%,gabakal juara rrq,gabakal juara rrq,gabakal juara rrq,gabakal juara rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
25,@anur665,Setsujin is back🎉❤,setsujin is back,setsujin is back,setsujin is back,setsujin is back,0,safe,non-cyberbullying,,0,0.5300732217573222
26,@nextplayer_1,"17:18 masa menit10 beda 14k gold, udah kaya main di GM😅",masa menit beda k gold udah kaya main di gm,masa menit beda k gold sudah kaya main di gm,masa menit beda k gold kaya main gm,masa menit beda k gold kaya main gm,0,safe,non-cyberbullying,,0,0.5300732217573222
27,@RatulPatraa,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 gokil bgt, pecah trs ga sia2 anjay",gokil bgt pecah trs ga sia anjay,gokil banget pecah terus tidak sia anjay,gokil banget pecah terus sia anjay,gokil banget pecah terus sia anjay,1,minor_negative,non-cyberbullying,anjay(negative:1),0,0.5300732217573222
28,@MDZeeshanShaikh-786,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Lunas utang, auto kaya cok",lunas utang auto kaya cok,lunas utang auto kaya cok,lunas utang auto kaya cok,lunas utang auto kaya cok,0,safe,non-cyberbullying,,0,0.5300732217573222
29,@BgmiCreator-j4d,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Cuma depo 100k, jd sultan",cuma depo k jd sultan,cuma depo k jadi sultan,cuma depo k jadi sultan,cuma depo k jadi sultan,0,safe,non-cyberbullying,,0,0.5300732217573222
30,@OpretorNiky,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5jt anjay,depo jadi jt anjay,depo jadi jt anjay,depo jadi jt anjay,depo jadi jt anjay,1,minor_negative,non-cyberbullying,anjay(negative:1),0,0.5300732217573222
31,@toxicsinglegamer143,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo dikit lunas utang cok,depo dikit lunas utang cok,depo dikit lunas utang cok,depo dikit lunas utang cok,depo dikit lunas utang cok,0,safe,non-cyberbullying,,0,0.5300732217573222
32,@indramajhi1716,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru depo 50 ribu, langsung mekswin 5 juta. Gokil ga sih?",baru depo ribu langsung mekswin juta gokil ga sih,baru depo ribu langsung mekswin juta gokil tidak sih,baru depo ribu langsung mekswin juta gokil sih,baru depo ribu langsung mekswin juta gokil sih,0,safe,non-cyberbullying,,0,0.5300732217573222
33,@AnshVerma852-y5b,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 member bru pasti jepe,member bru pasti jepe,member bru pasti jepe,member bru jepe,member bru jepe,0,safe,non-cyberbullying,,0,0.5300732217573222
34,@FFGamer30222,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Modal kecil mekswin trs,modal kecil mekswin trs,modal kecil mekswin terus,modal kecil mekswin terus,modal kecil mekswin terus,0,safe,non-cyberbullying,,0,0.5300732217573222
35,@ShivaniKahar-gd3gd,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru maen udah mekswin, gila!",baru maen udah mekswin gila,baru maen sudah mekswin gila,baru maen mekswin gila,baru maen mekswin gila,0,safe,non-cyberbullying,,0,0.5300732217573222
36,@OPDESIBHAIGAMING,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 mekswin trs jd lupa utang,mekswin trs jd lupa utang,mekswin terus jadi lupa utang,mekswin terus jadi lupa utang,mekswin terus jadi lupa utang,0,safe,non-cyberbullying,,0,0.5300732217573222
37,@AarifKhan-855,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 gokil bgt, pecah trs ga sia2 anjay",gokil bgt pecah trs ga sia anjay,gokil banget pecah terus tidak sia anjay,gokil banget pecah terus sia anjay,gokil banget pecah terus sia anjay,1,minor_negative,non-cyberbullying,anjay(negative:1),0,0.5300732217573222
38,@dance_vibe-h9i,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5 juta, mantap!",depo jadi juta mantap,depo jadi juta mantap,depo jadi juta mantap,depo jadi juta mantap,0,safe,non-cyberbullying,,0,0.5300732217573222
39,@chellurusuryateja3674,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Lunas utang, auto kaya cok",lunas utang auto kaya cok,lunas utang auto kaya cok,lunas utang auto kaya cok,lunas utang auto kaya cok,0,safe,non-cyberbullying,,0,0.5300732217573222
40,@alfabarta2022,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo dikit lunas utang cok,depo dikit lunas utang cok,depo dikit lunas utang cok,depo dikit lunas utang cok,depo dikit lunas utang cok,0,safe,non-cyberbullying,,0,0.5300732217573222
41,@Indian444-YT,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5jt anjay,depo jadi jt anjay,depo jadi jt anjay,depo jadi jt anjay,depo jadi jt anjay,1,minor_negative,non-cyberbullying,anjay(negative:1),0,0.5300732217573222
42,@pradipmansure5307,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Modal kecil mekswin trs,modal kecil mekswin trs,modal kecil mekswin terus,modal kecil mekswin terus,modal kecil mekswin terus,0,safe,non-cyberbullying,,0,0.5300732217573222
43,@LovekushBaghel-c3b,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru maen udah mekswin, gila!",baru maen udah mekswin gila,baru maen sudah mekswin gila,baru maen mekswin gila,baru maen mekswin gila,0,safe,non-cyberbullying,,0,0.5300732217573222
44,@karannn.93,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 mekswin trs jd lupa utang,mekswin trs jd lupa utang,mekswin terus jadi lupa utang,mekswin terus jadi lupa utang,mekswin terus jadi lupa utang,0,safe,non-cyberbullying,,0,0.5300732217573222
45,@Promax_gamer12,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru depo 50 ribu, langsung mekswin 5 juta. Gokil ga sih?",baru depo ribu langsung mekswin juta gokil ga sih,baru depo ribu langsung mekswin juta gokil tidak sih,baru depo ribu langsung mekswin juta gokil sih,baru depo ribu langsung mekswin juta gokil sih,0,safe,non-cyberbullying,,0,0.5300732217573222
46,@Manpreet_singh-o6y,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 member bru pasti jepe,member bru pasti jepe,member bru pasti jepe,member bru jepe,member bru jepe,0,safe,non-cyberbullying,,0,0.5300732217573222
47,@ahmadfawaidi6906,Jangan di ubah lagi sutsujin kemistrinya rrq udah bagus,jangan di ubah lagi sutsujin kemistrinya rrq udah bagus,jangan di ubah lagi sutsujin kemistrinya rrq sudah bagus,jangan ubah sutsujin kemistrinya rrq bagus,jangan ubah sutsujin mistri rrq bagus,0,safe,non-cyberbullying,,0,0.5300732217573222
48,@AgusSanjaya-s8m,Rinz ga bisa main lele,rinz ga bisa main lele,rinz tidak bisa main lele,rinz bisa main lele,rinz bisa main lele,0,safe,non-cyberbullying,,0,0.5300732217573222
49,@ReZa-s5f6b,Toy cuma bisa granger,toy cuma bisa granger,toy cuma bisa granger,toy cuma granger,toy cuma granger,0,safe,non-cyberbullying,,0,0.5300732217573222
50,@kaubabi-b5p,"Kata onic,badut vs badutttt",kata onicbadut vs badutttt,kata onicbadut vs badutttt,kata onicbadut vs badutttt,kata onicbadut vs badutttt,0,safe,non-cyberbullying,,0,0.5300732217573222
51,@ArilAiril-rt2oi,"Kok mainin sutsujin,kenapa gak zunesh aja wkwkwkwkwkwkwk",kok mainin sutsujinkenapa gak zunesh aja wkwkwkwkwkwkwk,kok mainin sutsujinkenapa tidak zunesh saja wkwkwkwkwkwkwk,kok mainin sutsujinkenapa zunesh wkwkwkwkwkwkwk,kok mainin sutsujinkenapa zunesh wkwkwkwkwkwkwk,0,safe,non-cyberbullying,,0,0.5300732217573222
52,@Kyuu91-o1k,Itu erlan ngapain yaaa,itu erlan ngapain yaaa,itu erlan ngapain yaaa,erlan ngapain yaaa,erlan ngapain yaaa,0,safe,non-cyberbullying,,0,0.5300732217573222
53,@galangraditya8960,"Menit 7 padahal evos war di mid goldlane nya clear lane , itu gada info apa dari mid suruh mundur",menit padahal evos war di mid goldlane nya clear lane itu gada info apa dari mid suruh mundur,menit padahal evos war di mid goldlane ya clear lane itu gada info apa dari mid suruh mundur,menit padahal evos war mid goldlane clear lane gada info apa mid suruh mundur,menit padahal evos war mid goldlane clear lane gada info apa mid suruh mundur,0,safe,non-cyberbullying,,0,0.5300732217573222
54,@uddinjamal5817,Ya elah cuman stag di el clasico aja 😂😅 lawan si O kagak mampu boss🤭🤭😁✌✌,ya elah cuman stag di el clasico aja lawan si o kagak mampu boss,ya elah cuma stag di el clasico saja lawan si o kagak mampu boss,elah cuma stag el clasico lawan si o kagak mampu boss,elah cuma stag el clasico lawan si o kagak mampu boss,0,safe,non-cyberbullying,,0,0.5300732217573222
55,@refan.lingga,"dari dulu itu ujin punya potensi besar, makanya jgn dibuat ga main",dari dulu itu ujin punya potensi besar makanya jgn dibuat ga main,dari dulu itu ujin punya potensi benar makanya jangan dibuat tidak main,dulu ujin punya potensi benar makanya jangan dibuat main,dulu ujin punya potensi benar makanya jangan buat main,0,safe,non-cyberbullying,,0,0.5300732217573222
56,@Dika_29,"9:21 momen gila rezzz
Gak nyangka banget gua udah ada pengganti lek dyren secepet ini",momen gila rezzz gak nyangka banget gua udah ada pengganti lek dyren secepet ini,momen gila rezzz tidak nyangka banget saya sudah ada pengganti lek dyren secepet ini,momen gila rezzz nyangka banget sudah pengganti lek dyren secepet,momen gila rezzz nyangka banget sudah ganti lek dyren secepet,0,safe,non-cyberbullying,,0,0.5300732217573222
57,@AgusFitriyadi-e9v,Ya mungkin,ya mungkin,ya mungkin,mungkin,mungkin,0,safe,non-cyberbullying,,0,0.5300732217573222
58,@muhammadrobbyramadhan2174,Itu serius vyn coachnya,itu serius vyn coachnya,itu serius vyn coachnya,serius vyn coachnya,serius vyn coachnya,0,safe,non-cyberbullying,,0,0.5300732217573222
59,@Faketaxy90,Ngapai lah evos beli KYY.. 😂😂.. kerjaannya juga cuma ngetnot 🤣🤣,ngapai lah evos beli kyy kerjaannya juga cuma ngetnot,ngapai lah evos beli kyy kerjaannya juga cuma ngetnot,ngapai lah evos beli kyy kerjaannya cuma ngetnot,ngapai lah evos beli kyy kerja cuma ngetnot,0,safe,non-cyberbullying,,0,0.5300732217573222
60,@arrianie68,Punya jungler keren dan perfomanya bagus di diemin 😅😅 coba dari awal di mainin pasti ga jauh jatuhnya,punya jungler keren dan perfomanya bagus di diemin coba dari awal di mainin pasti ga jauh jatuhnya,punya jungler keren dan perfomanya bagus di diemin coba dari awal di mainin pasti tidak jauh jatuhnya,punya jungler keren perfomanya bagus diemin coba awal mainin tidak jauh jatuhnya,punya jungler keren perfomanya bagus diemin coba awal mainin tidak jauh jatuh,0,safe,non-cyberbullying,,0,0.5300732217573222
61,@HoaHoang-t9f,"Aku nonton ini sambil senyum-senyum sendiri,🀄ℙℝ𝕆𝔹𝔼𝕋855🀄Vibes-nya positif,cara ngomongmu ramah banget, dan yang jelas... nggak ngebosenin! Ini tipe konten yang bisa ditonton berulang-ulang tanpa bikin jenuh. Terima kasih udah nyebarin energi baik. Semoga kamu selalu dilimpahi ide-ide hebat kayak gini terus ya!💯",aku nonton ini sambil senyumsenyum sendirivibesnya positifcara ngomongmu ramah banget dan yang jelas nggak ngebosenin ini tipe konten yang bisa ditonton berulangulang tanpa bikin jenuh terima kasih udah nyebarin energi baik semoga kamu selalu dilimpahi ideide hebat kayak gini terus ya,aku nonton ini sambil senyumsenyum sendirivibesnya positifcara ngomongmu ramah banget dan yang jelas nggak ngebosenin ini tipe konten yang bisa ditonton berulangulang tanpa bikin jenuh terima kasih sudah nyebarin energi baik semoga kamu selalu dilimpahi ideide hebat seperti gini terus ya,aku nonton sambil senyumsenyum sendirivibesnya positifcara ngomongmu ramah banget jelas ngebosenin tipe konten yang bisa ditonton berulangulang bikin jenuh terima kasih nyebarin energi baik semoga kamu selalu dilimpahi ideide hebat gini terus,aku nonton sambil senyumsenyum sendirivibesnya positifcara ngomongmu ramah banget jelas ngebosenin tipe konten yang bisa tonton berulangulang bikin jenuh terima kasih nyebarin energi baik moga kamu selalu limpah ideide hebat gin terus,0,safe,non-cyberbullying,,0,0.5300732217573222
62,@dheyXavier,"dulu fans epos hampir 70%
dan sekarang tinggal 30% sisanya pindah ke onic,",dulu fans epos hampir dan sekarang tinggal sisanya pindah ke onic,dulu fans epos hampir dan sekarang tinggal sisanya pindah ke onic,dulu fans epos hampir sekarang tinggal sisanya pindah onic,dulu fans epos hampir sekarang tinggal sisa pindah onic,0,safe,non-cyberbullying,,0,0.5300732217573222
63,@dheyXavier,"dulu fans epos hampir 70%
dan sekarang tinggal 30% sisanya pindah ke onic,",dulu fans epos hampir dan sekarang tinggal sisanya pindah ke onic,dulu fans epos hampir dan sekarang tinggal sisanya pindah ke onic,dulu fans epos hampir sekarang tinggal sisanya pindah onic,dulu fans epos hampir sekarang tinggal sisa pindah onic,0,safe,non-cyberbullying,,0,0.5300732217573222
64,@bangudin4951,Albert vs rrq ini mah 😂,albert vs rrq ini mah,albert vs rrq ini mah,albert vs rrq mah,albert vs rrq mah,0,safe,non-cyberbullying,,0,0.5300732217573222
65,@IyanRompies_023,keliatan siapa player yg bermasalah,keliatan siapa player yg bermasalah,keliatan siapa player yang bermasalah,keliatan siapa player bermasalah,liat siapa player masalah,0,safe,non-cyberbullying,,0,0.5300732217573222
66,@Evrymlbb,Momen Emote😂😂 9:08,momen emote,momen emote,momen emote,momen emote,0,safe,non-cyberbullying,,0,0.5300732217573222
67,@mugiwaranoluffy5415,APA ITU ZUNESH GOBLOK. BAGUSAN HAZLE. UJIN LEBIH BAGUS DARI KEDUANYA,apa itu zunesh goblok bagusan hazle ujin lebih bagus dari keduanya,apa itu zunesh goblok bagusan hazle ujin lebih bagus dari keduanya,apa zunesh goblok bagusan hazle ujin lebih bagus keduanya,apa zunesh goblok bagus hazle ujin lebih bagus dua,4,moderate_toxic,cyberbullying,goblok(personal:4),1,8.81304347826087
68,@abdullaharrafi5016,sandal out aja,sandal out aja,sandal out saja,sandal out,sandal out,0,safe,non-cyberbullying,,0,0.5300732217573222
69,@yd17,please roster ini kedepannya jangan pake Juned lagiii,please roster ini kedepannya jangan pake juned lagiii,please roster ini kedepannya jangan pakai juned lagi,please roster kedepannya jangan pakai juned,please roster depan jangan pakai juned,0,safe,non-cyberbullying,,0,0.5300732217573222
70,@Rizkimpruy,13:43,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
71,@nabiljazuli892,"Coba RRQ pas lawan ONIC pake sutsujin, pasti menang....",coba rrq pas lawan onic pake sutsujin pasti menang,coba rrq pas lawan onic pakai sutsujin pasti memang,coba rrq pas lawan onic pakai sutsujin memang,coba rrq pas lawan onic pakai sutsujin memang,0,safe,non-cyberbullying,,0,0.5300732217573222
72,@aingsaha9695,"Pak ap: RRQ boleh kalah sama tim manapun, asal jangan sama EVOS",pak ap rrq boleh kalah sama tim manapun asal jangan sama evos,pak ap rrq boleh kalau sama tim manapun asal jangan sama evos,pak ap rrq kalau sama tim manapun asal jangan sama evos,pak ap rrq kalau sama tim mana asal jangan sama evos,0,safe,non-cyberbullying,,0,0.5300732217573222
73,@mypersonalaccount4934,16:36 momen YSS ulti kena 3 orang,momen yss ulti kena orang,momen yss ulti karena orang,momen yss ulti orang,momen yss ulti orang,0,safe,non-cyberbullying,,0,0.5300732217573222
74,@DrakoNiel-b8r,"Ujin tipikal player pendiam dan pemalu.
Digameplay dia gmw diliat org dia yg paling nonjol.",ujin tipikal player pendiam dan pemalu digameplay dia gmw diliat org dia yg paling nonjol,ujin tipikal player pendiam dan pemalu digameplay dia gmw diliat orang dia yang paling nonjol,ujin tipikal player pendiam pemalu digameplay gmw diliat orang yang paling nonjol,ujin tipikal player diam malu digameplay gmw liat orang yang paling nonjol,0,safe,non-cyberbullying,,0,0.5300732217573222
75,@yogad7844,king erlan epic,king erlan epic,king erlan epic,king erlan epic,king erlan epic,0,safe,non-cyberbullying,,0,0.5300732217573222
76,@IamBokir-ni2bk,fams are you ready:sunyii aowowkw,fams are you readysunyii aowowkw,fams are you readysunyii aowowkw,fams are you readysunyii aowowkw,fams are you readysunyii aowowkw,0,safe,non-cyberbullying,,0,0.5300732217573222
77,@4K-47,Haha udah kaya lawan partyan public😂,haha udah kaya lawan partyan public,haha sudah kaya lawan partyan public,haha kaya lawan partyan public,haha kaya lawan partyan public,0,safe,non-cyberbullying,,0,0.5300732217573222
78,@Kee_Ook,Akhir ny ujin main ini ni yg buat kemaren kalah coba kalo ujin dari kemaren main pasti ga bakal kalah,akhir ny ujin main ini ni yg buat kemaren kalah coba kalo ujin dari kemaren main pasti ga bakal kalah,akhir ny ujin main ini ni yang buat kemaren kalau coba kalau ujin dari kemaren main pasti tidak bakal kalau,akhir ny ujin main ni buat kemaren kalau coba kalau ujin kemaren main tidak bakal kalau,akhir ny ujin main ni buat kemaren kalau coba kalau ujin kemaren main tidak bakal kalau,0,safe,non-cyberbullying,,0,0.5300732217573222
79,@azizmickey2142,Uhuyyy,uhuyyy,uhuyyy,uhuyyy,uhuyyy,0,safe,non-cyberbullying,,0,0.5300732217573222
80,@amiman7203,Mnt 9 yss lvl15 😂,mnt yss lvl,mnt yss lvl,mnt yss lvl,mnt yss lvl,0,safe,non-cyberbullying,,0,0.5300732217573222
81,@aldyzabalaga,EVOS jangan harap kalo mm nya masih erlan,evos jangan harap kalo mm nya masih erlan,evos jangan harap kalau mm ya kasih erlan,evos jangan harap kalau mm kasih erlan,evos jangan harap kalau mm kasih erlan,0,safe,non-cyberbullying,,0,0.5300732217573222
82,@kinkisheesh,Kata gue mslhnya cm di zunesh yg demen blunder. Sekali dibalikin ke si ujin lngsng keliatan perbedaan gameplay kan 😅 (walopun gameplay ujin masi suka kalah retri dibanding jungler tim lain),kata gue mslhnya cm di zunesh yg demen blunder sekali dibalikin ke si ujin lngsng keliatan perbedaan gameplay kan walopun gameplay ujin masi suka kalah retri dibanding jungler tim lain,kata saya mslhnya cuma di zunesh yang demen blunder sekali dibalikin ke si ujin lngsng keliatan perbedaan gameplay akan walopun gameplay ujin masi suka kalau retri dibanding jungler tim lain,kata mslhnya cuma zunesh demen blunder sekali dibalikin si ujin lngsng keliatan perbedaan gameplay walopun gameplay ujin masi suka kalau retri dibanding jungler tim,kata mslhnya cuma zunesh demen blunder sekali dibalikin si ujin lngsng liat beda gameplay walopun gameplay ujin mas suka kalau retri banding jungler tim,0,safe,non-cyberbullying,,0,0.5300732217573222
83,@muhammadhidayatilham7835,Lane of down 6:31,lane of down,lane of down,lane of down,lane of down,0,safe,non-cyberbullying,,0,0.5300732217573222
84,@BambangOke-e5d,lol malah maenin xorizo,lol malah maenin xorizo,lol malah maenin xorizo,lol malah maenin xorizo,lol malah maenin xorizo,0,safe,non-cyberbullying,,0,0.5300732217573222
85,@fathvloggaming8789,Rendyy mana woy 😮,rendyy mana woy,rendyy mana woy,rendyy mana woy,rendyy mana woy,0,safe,non-cyberbullying,,0,0.5300732217573222
86,@HUMANgmly,Astaghfirullah pada judol,astaghfirullah pada judol,astaghfirullah pada judol,astaghfirullah judol,astaghfirullah judol,0,safe,non-cyberbullying,,0,0.5300732217573222
87,@ahmadsofik4112,Lah evos gomta ganti pemain sudah betul2 kayak kemaren lawan dewa mlh gati pemain lagi bobrok evos lama2,lah evos gomta ganti pemain sudah betul kayak kemaren lawan dewa mlh gati pemain lagi bobrok evos lama,lah evos gomta nanti pemain sudah betul seperti kemaren lawan dewa mlh gati pemain lagi bobrok evos lama,lah evos gomta pemain betul kemaren lawan dewa mlh gati pemain bobrok evos lama,lah evos gomta main betul kemaren lawan dewa mlh gati main bobrok evos lama,0,safe,non-cyberbullying,,0,0.5300732217573222
88,@Hamkazeetr,Udah paling bener sutsujin jngler good bles rrq🔥🫵,udah paling bener sutsujin jngler good bles rrq,sudah paling benar sutsujin jngler good bles rrq,paling benar sutsujin jngler good bles rrq,paling benar sutsujin jngler good bles rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
89,@S3nchhh,Udh gua bilang yg bermasalah itu si zuned,udh gua bilang yg bermasalah itu si zuned,sudah saya bilang yang bermasalah itu si zuned,saya bilang bermasalah si zuned,saya bilang masalah si zuned,0,safe,non-cyberbullying,,0,0.5300732217573222
90,@zanztuycoy,"Astagaaa si swallok ngapain main dstu, gda pemain lain apa?",astagaaa si swallok ngapain main dstu gda pemain lain apa,astagaaa si swallok ngapain main dstu gda pemain lain apa,astagaaa si swallok ngapain main dstu gda pemain apa,astagaaa si swallok ngapain main dstu gda main apa,0,safe,non-cyberbullying,,0,0.5300732217573222
91,@olinimbar4729,Apa cmn gw yang ngeuh klo toy tiap pake granger tp tanpa skin lebih jagoo,apa cmn gw yang ngeuh klo toy tiap pake granger tp tanpa skin lebih jagoo,apa cuma saya yang ngeuh kalau toy tiap pakai granger tapi tanpa skin lebih jagoo,apa cuma yang ngeuh kalau toy tiap pakai granger tanpa skin lebih jagoo,apa cuma yang ngeuh kalau toy tiap pakai granger tanpa skin lebih jagoo,0,safe,non-cyberbullying,,0,0.5300732217573222
92,@godensaprudin6541,Buzzer kemarin balik lgi di youtube MPL wkwk,buzzer kemarin balik lgi di youtube mpl wkwk,buzzer kemarin balik lagi di youtube mpl wkwk,buzzer kemarin balik di youtube mpl wkwk,buzzer kemarin balik di youtube mpl wkwk,0,safe,non-cyberbullying,,0,0.5300732217573222
93,@rafkakhairulanam0356,makanya jangan juned mulu akhh dimainin😂😂,makanya jangan juned mulu akhh dimainin,makanya jangan juned mulu akhh dimainin,makanya jangan juned mulu akhh dimainin,makanya jangan juned mulu akhh dimainin,0,safe,non-cyberbullying,,0,0.5300732217573222
