id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying
37,Fany cmn 2 kabel a0aan coba,fany cuma kabel aaan coba,0,safe,non-cyberbullying,0
38,"Gua udah pernah komen diig RRQ langsung buatt mainin sujin aja krn zunesh masih perlu banyak belajar masih anak2 ini,,,,jgn smpe MPL zunesh main siih",sudah pernah komen diig rrq langsung buatt mainin sujin karena zunesh kasih perlu banyak ajar kasih anak inijgn smpe mpl zunesh main siih,0,safe,non-cyberbullying,0
39,"mid nya mesti ganti sih RRQ, nggak guna jir",mid mesti sih rrq guna jir,0,safe,non-cyberbullying,0
40,Ererkyu cangkang doang 😂,ererkyu cangkang orang,0,safe,non-cyberbullying,0
41,Lutpi man of the match sejati di game ini ...,lutpi man of the match sejati game,0,safe,non-cyberbullying,0
42,Kemarin kemarin mana nih yg banding banding in skylar sama toyy?😅,kemarin kemarin mana nih banding banding in skylar sama toyy,0,safe,non-cyberbullying,0
43,Onic vs ranked evic ini mh 🤣,onic vs ranked evic mh,0,safe,non-cyberbullying,0
44,lutphi matang,lutphi matang,0,safe,non-cyberbullying,0
45,Izrail Xinn 😢,izrail xinn,0,safe,non-cyberbullying,0
46,"Lagi"" Kalah draft si kata gua mah",kalau draft si kata mah,0,safe,non-cyberbullying,0
47,Lupi seperti nampol nyamuk 😂,lupi nampol nyamuk,0,safe,non-cyberbullying,0
48,"1 yang pasti, yang buat onic tak terkalahkan adalah sanz, kairi, kiboy 🤗",pasti buat onic tak kalah sanz kairi kiboy,0,safe,non-cyberbullying,0
49,Kok yang mvp lutpi harusnya kairi dong gold nya lebih banyak,kok mvp lutpi harus kairi dong gold lebih banyak,0,safe,non-cyberbullying,0
50,"4 ngincer Skylar
1orang pengen nge solo kill sanz",ngincer skylar orang ken nge solo kill sanz,0,safe,non-cyberbullying,0
51,"Jadi ga seru game nya rrg vs onic karna ga ada greget nya dari RRQ jadi ga semangat lagi main mlbb, jadi seperti ga ada penyemangat main lagi RRQ nya lemah gini😂, kayak nya pensiun di season ini deh saya main ML 😂🏆⚰️🪦",jadi seru game rrg vs onic greget dari rrq jadi tidak semangat main mlbb jadi tidak semangat main rrq lemah gin ya pensiun season deh main ml,0,safe,non-cyberbullying,0
52,Maaf gue fans skylar,maaf fans skylar,0,safe,non-cyberbullying,0
53,"Dulu suka rrq karna ada skylar, sekarang suka onic karna ada skylar 👍",dulu suka rrq ada skylar sekarang suka onic ada skylar,0,safe,non-cyberbullying,0
54,Itu yss lepas,yss lepas,0,safe,non-cyberbullying,0
55,raja halu lagi unjuk gigi tpi g punya gigi,raja halu untuk gigi g punya gigi,0,safe,non-cyberbullying,0
56,Match ini kok toy kya maen brawl ya di atas mulu.. Idiot bngt,match kok toy maen brawl di atas mulu idiot banget,4,moderate_toxic,cyberbullying,1
57,"Mulai dari era ny vyn, rrq sangat membudaya dengan feeder.",mulai era ny vyn rrq sangat budaya feeder,3,moderate_toxic,non-cyberbullying,0
58,Apalah pick uranus bego bgt,apa pick uranus bego banget,4,moderate_toxic,cyberbullying,1
59,hidup onic❤🎉,hidup onic,0,safe,non-cyberbullying,0
60,anjim Rinz mati dalam basenya sendiri 😂,anjing rinz mati basenya sendiri,9,extreme_cyberbullying,cyberbullying,1
61,"Balikin team RRQ yg dlu, Sutsujin, Toy, Dyren, Rinz, dan Idok, gk usah di ganti yg lain",balikin team rrq dlu sutsujin toy dyren rinz idok usah nanti lain,0,safe,non-cyberbullying,0
62,Buang aja si rinz beban😊,buang si rinz beban,0,safe,non-cyberbullying,0
63,Vix onic win 19:25,vix onic win,0,safe,non-cyberbullying,0
64,Di recal recal Ama sanz,recal recal sama sanz,0,safe,non-cyberbullying,0
65,Rrq=hama,rrqhama,0,safe,non-cyberbullying,0
66,Pesona tim gk jago,pesona tim jago,0,safe,non-cyberbullying,0
67,Rasakan kekejaman mantan,rasa kejam mantan,0,safe,non-cyberbullying,0
68,17:18  itu midlane jago ngapain diem doang,midlane jago ngapain diem orang,0,safe,non-cyberbullying,0
69,Sorry kok gak di stage main nya?,sorry kok di stage main,0,safe,non-cyberbullying,0
70,Zunesh ngapain 😂,zunesh ngapain,0,safe,non-cyberbullying,0
71,Gak kebayang di onic ad idok,bayang onic ad idok,0,safe,non-cyberbullying,0
72,rrrq badut yang ga terima tuolol,rrrq badut tidak terima tuolol,0,safe,non-cyberbullying,0
73,Rinz amatir bngt,rinz amatir banget,0,safe,non-cyberbullying,0
74,paste4d gila paling mantap pokok nya,pasted gila paling mantap pokok,0,safe,non-cyberbullying,0
75,Ga ngeliat nilai plus zunesh gw mending sutsujin,ngeliat nilai plus zunesh mending sutsujin,0,safe,non-cyberbullying,0
76,"roster terbapuk, kecewa roster seblumnya udh ada improv malah digantj",roster terbapuk kecewa roster seblumnya ada improv malah digantj,0,safe,non-cyberbullying,0
77,gg kairi dan lutpii,gg kairi lutpii,0,safe,non-cyberbullying,0
78,Wkwkwk Ererqe 😂,wkwkwk ererqe,0,safe,non-cyberbullying,0
79,Lutpi Bankai💀,lutpi bankai,0,safe,non-cyberbullying,0
80,Akhirnya bisa membungkam mulut2 fans ppq 😅😅😅 banyangkan lw kalah syalar bakalan di buly habis2san,akhir bungkam mulut fans ppq banyangkan lw kalau syalar bakal buly habissan,0,safe,non-cyberbullying,0
81,Bahagia itu PHILIPINA,bahagia philipina,0,safe,non-cyberbullying,0
82,"Yg cacat MID nya yg di rombak JUGLER nya 😂😂😂

Turot pharsa nyeeet!!!
RINZ OUT",cacat mid yang rombak jugler turot pharsa nyeeet rinz out,4,moderate_toxic,cyberbullying,1
83,Kenapa ujin gak di turunkan shi,ujin di turun shi,0,safe,non-cyberbullying,0
84,Beda kelas,beda kelas,0,safe,non-cyberbullying,0
85,"Gmn g kuat, orang mage nya sans, jung nya kairi, mm nya skylar",bagaimana g kuat orang mage sans jung kairi mm skylar,0,safe,non-cyberbullying,0
86,the real Fanny dongeng (songo cengeng),the real fanny dongeng songo cengeng,0,safe,non-cyberbullying,0
87,Makasi onic skaylarnya di mainin trus moga menang,makas onic skaylarnya mainin terus moga memang,0,safe,non-cyberbullying,0
88,Game idiot from moonton,game idiot from moonton,4,moderate_toxic,cyberbullying,1
89,toy ayam di hadapan skylarr,toy ayam hadap skylarr,0,safe,non-cyberbullying,0
90,Jugler rrq masih magang .. mending sutsujun,jugler rrq kasih magang mending sutsujun,0,safe,non-cyberbullying,0
91,Riiiiiiiiinzzzzz😂😂😂,riiiiiiiiinzzzzz,0,safe,non-cyberbullying,0
92,Rrq bot banget,rrq bot banget,0,safe,non-cyberbullying,0
93,RRQ butuh hpr yg jago bukn kyk gini,rrq butuh hpr jago bukan kyk gin,0,safe,non-cyberbullying,0
94,Bubar bubar😂 ppq,bubar bubar ppq,0,safe,non-cyberbullying,0
95,"SKYLAR PENGKHIANAT RRQ ,Liat Muka nya aja Menjijikan 😂😂",skylar khianat rrq liat muka saja jijik,0,safe,non-cyberbullying,0
96,kok itu gk di stage ya mainnya?,kok tidak stage main,0,safe,non-cyberbullying,0
97,"Jungler baru lebih gajelas coii ,",jungler baru lebih gajelas coii,0,safe,non-cyberbullying,0
98,Rins ya poke,rins poke,0,safe,non-cyberbullying,0
99,"RRQ - Main Rank
Onic - Pro International

Gak tau mau komen apalg???
Emang beda kelas sekrang 😅, bumi dan langit",rrq main rank onic pro international tahu mau komen apalg memang beda kelas sekarang bumi langit,0,safe,non-cyberbullying,0
100,Lutpi nyapu SAMPAH,lutpi nyapu,0,safe,non-cyberbullying,0
101,Suren wee RRQ qontol,suren wee rrq kontol,5,moderate_toxic,cyberbullying,1
102,Onic gg banget uyyy 😎😎😎,onic gg banget uyyy,0,safe,non-cyberbullying,0
103,Lokal,lokal,0,safe,non-cyberbullying,0
104,9:16,,0,safe,non-cyberbullying,0
105,PPQ mode karantina 3 kata lucu😜👆,ppq mode karantina kata lucu,0,safe,non-cyberbullying,0
106,Rins seperti palyer epik asal buka ulti di tengah rumput tanpa pikir panjang badut,rins palyer epik asal bukan ulti tengah rumput pikir panjang badut,0,safe,non-cyberbullying,0
107,Rins seperti palyer epik asal buka ulti di tengah rumput tanpa pikir panjang badut,rins palyer epik asal bukan ulti tengah rumput pikir panjang badut,0,safe,non-cyberbullying,0
108,Zunesh siapa anjr?,zunesh siapa anjr,0,safe,non-cyberbullying,0
109,Ini RRQ LU SEKARANG PAK AP,rrq kamu sekarang pak ap,0,safe,non-cyberbullying,0
110,Haha rinz rinz mati di tower 😂😂😂😂,haha rinz rinz mati tower,5,moderate_toxic,cyberbullying,1
111,RRQ pokeee,rrq pokeee,0,safe,non-cyberbullying,0
112,Si pengkhianat,si khianat,0,safe,non-cyberbullying,0
113,abang lutpii🥶🥶,abang lutpii,0,safe,non-cyberbullying,0
114,Early nya si sama2 kuat ya,early si sama kuat,0,safe,non-cyberbullying,0
115,"kenapa sekarang jadinya ga di stage ya mainnya? sorry, baru nonton mpl lagi🙏🏻",sekarang jadi di stage main sorry baru nonton mpl,0,safe,non-cyberbullying,0
116,dua kata lucu king toyy,kata lucu king toyy,0,safe,non-cyberbullying,0
117,katanya onic ga jago kok 2 0,kata onic jago kok,0,safe,non-cyberbullying,0
118,Main Fasha nyari KDA baguss😂,main fasha nyari kda baguss,0,safe,non-cyberbullying,0
119,"Gua kigdom tapi sllu respet buat skylar dan di membuktikan klo tidak di pilih di roster rrq akhiranya dinobok rrq,, 
Coach k4ncut sedang memasak 😂",kigdom sllu respet buat skylar bukti kalau di pilih di roster rrq akhiranya dinobok rrq coach kncut sedang masak,0,safe,non-cyberbullying,0
120,"Early exp gendong,mid ke late gold yg ganti gendong
Mantaplah",early exp gendongmid late gold nanti gendong mantap,0,safe,non-cyberbullying,0
121,jung rrq fokus minions aja,jung rrq fokus minions,0,safe,non-cyberbullying,0
122,gokil lutpii,gokil lutpii,0,safe,non-cyberbullying,0
123,bisa ni M7,ni m,0,safe,non-cyberbullying,0
124,"Toy gold udh ckup pdhl, tapi takut kalo join war😢",toy gold ckup pdhl takut kalau join war,0,safe,non-cyberbullying,0
125,lutpii keren banget 🔥,lutpii keren banget,0,safe,non-cyberbullying,0
126,pepeqy hoshi bot,pepeqy hoshi bot,0,safe,non-cyberbullying,0
127,"ABOY PAK AP😂
RINZ BOT",aboy pak ap rinz bot,0,safe,non-cyberbullying,0
128,Savero😢😢,savero,0,safe,non-cyberbullying,0
129,Kok gak di MPL Arena pertandingan nya?,kok di mpl tanding,0,safe,non-cyberbullying,0
130,Hai kalian para karbit. Silakan liat. Kecwa kan skylar gk mati xixixixix,hai kalian karbit sila liat kecwa skylar mati xixixixix,5,moderate_toxic,cyberbullying,1
131,RRQ POOKEE,rrq pookee,0,safe,non-cyberbullying,0
132,Hahahah badut badut 😂😂😂,hahahah badut badut,0,safe,non-cyberbullying,0
133,"""RINZ DONGOOOOO""
udah gitu aja pokonya",rinz dongooooo gitu poko,0,safe,non-cyberbullying,0
134,Arlott menggila,arlott gila,0,safe,non-cyberbullying,0
135,Toys=Mainannya king Skylark yakkk🤭🤭🤭,toysmainannya king skylark yakkk,0,safe,non-cyberbullying,0
136,lutpi jago bngt gila,lutpi jago banget gila,0,safe,non-cyberbullying,0
137,Ngak usah dilanjut lah mpl nya langsung aja kirim ke gh onic pialanya,ngak usah lanjut lah mpl langsung kirim gh onic piala,0,safe,non-cyberbullying,0
138,indog tanpa PH hanya abang abang gorengan yang fomo maen ML,indog ph abang abang goreng fomo maen ml,0,safe,non-cyberbullying,0
139,"""Apaitu Sanz? Ini Rinz yak!"" 🤡🤡🤡🤡🤡",apaitu sanz rinz,0,safe,non-cyberbullying,0
140,"Ksi paham bang lerrrr , smangat teruss jagoanku",ksi paham bang lerrrr smangat terus jago,0,safe,non-cyberbullying,0
141,Zunesh mntang² first blood dia lngsung pd bgt pdhl itu pasti udh bakal kebaca sma onic,zunesh mntang first blood lngsung pd banget pdhl pasti bakal baca sama onic,0,safe,non-cyberbullying,0
142,LANGSUNG AJA KASIH PIALANYA KE ONIC 🥶😂,langsung kasih piala onic,0,safe,non-cyberbullying,0
143,fanny impure jir🗿,fanny impure jir,0,safe,non-cyberbullying,0
144,"Jadi malu yang bilang, toy mau sekolahin skylar😂😂😂",jadi malu bilang toy mau sekolahin skylar,0,safe,non-cyberbullying,0
145,Udhla mending RRQ cari lawan yg lain'jgn lawan Onic percuma endingnya tetap klh jga😂,udhla mending rrq cari lawan lainjgn lawan onic percuma endingnya tetap klh,0,safe,non-cyberbullying,0
146,EL leader mati dibase lho yah😂😂😂,el leader mati dibase lho,5,moderate_toxic,cyberbullying,1
147,Match yang ga ngebosenim buat di rewatch 😆😆,match tidak ngebosenim buat rewatch,0,safe,non-cyberbullying,0
148,Tumben toyy gak pake granger,tumben toyy pakai granger,0,safe,non-cyberbullying,0
149,Kami adalah penyokong dari Malaysia...,adalah sokong malaysia,0,safe,non-cyberbullying,0
150,"ONIC ID + SKYLER = CALON KUAT JUARA M7! 🔥

Aku nampak potensi besar ONIC ID di M7 kali ni. Masuknya Skylar dalam roster jadi turning point. Kenapa?

1️⃣ Pengalaman & Reputasi
Skylar bukan player biasa – dia bekas anak murid Arcadia (coach SRG OG). Dari dulu kita tau Arcadia pandai gilap gold laner, dan Skylar antara hasil terbaik.

2️⃣ Rekod Antarabangsa
Skylar pernah catat 16 kill di pentas internasional sebagai gold laner – ranking kedua tertinggi dunia. Yang pertama pegang rekod tu Innocent dari team SRG OG. Ini bukti Skylar bukan sekadar “nama besar”, tapi memang ada bukti prestasi.

3️⃣ Roster ONIC Dah Lengkap
Dari semua sudut laner, ONIC ID sekarang hampir sempurna – roamer solid, mid stabil, jungler konsisten, exp kuat, dan kini gold lane ada Skylar. Balance semua line.

4️⃣ Kunci Kemenangan = Mental & Disiplin
Skill mereka dah world class, tinggal mentaliti & disiplin yang perlu dikunci rapat. Kalau ONIC ID main dengan penuh keyakinan, jaga disiplin dan komunikasi, peluang jadi Juara M7 memang besar.

👉 Jadi, jangan ragu – ONIC ID dengan Skylar memang ada DNA juara! 🇮🇩🏆🔥",onic id skyler calon kuat juara m aku nampak potensi benar onic id m kali ni masuk skylar roster jadi turning point alam reputasi skylar bukan player dia bekas anak murid arcadia coach srg og dulu tahu arcadia pandai gilap gold laner skylar hasil baik rekod antarabangsa skylar pernah catat kill pentas internasional gold laner ranking dua tinggi dunia pertama pegang rekod tu innocent team srg og bukti skylar bukan sekadar nama benar memang bukti prestasi roster onic lengkap semua sudut laner onic id sekarang hampir sempurna roamer solid mid stabil jungler konsisten exp kuat kini gold lane skylar balance semua line kunci menang mental disiplin skill sudah world class tinggal mentaliti disiplin perlu kunci kalau onic id main penuh yakin jaga disiplin komunikasi peluang jadi juara m memang benar jadi jangan ragu onic id skylar memang dna juara,0,safe,non-cyberbullying,0
151,Rinz Out ntah apa aja midlane nya kacau kali,rinz out ntah apa midlane kalau kali,0,safe,non-cyberbullying,0
152,"Udh Fiks ini sh, Onic juara MPL lgi, dan udh fiks Onic mental Pgen Juara D M series keliatan, inget kan apa kata Luke sma Aeron, pas Onic Maen, ini Onic kuat banget loh, udh Kya Kelra sma Kingkong",fiks sh onic juara mpl dan fiks onic mental pgen juara d m series liat inget apa kata luke sama aeron pas onic maen onic kuat banget loh ya kelra sama kingkong,0,safe,non-cyberbullying,0
153,Utamakan Sanz klo war mau menang lawan onic,utama sanz kalau war mau memang lawan onic,0,safe,non-cyberbullying,0
154,King sanz and Prince Skylark mengoreng RRQ😅,king sanz and prince skylark oreng rrq,0,safe,non-cyberbullying,0
155,RRQ TERLUNGKUP 😅😅,rrq terlungkup,0,safe,non-cyberbullying,0
156,Savero mana?,savero mana,0,safe,non-cyberbullying,0
157,LUTPIII JAGO BGT COKKK,lutpiii jago banget cokkk,0,safe,non-cyberbullying,0
158,Lutpiiii makin waah aja❤,lutpiiii makin waah,0,safe,non-cyberbullying,0
159,"dulu astaga lutpi😩
sekarang astaga lutpi😱",dulu astaga lutpi sekarang astaga lutpi,0,safe,non-cyberbullying,0
160,Zhuxin di pick baloy kata lim kocak,zhuxin pick baloy kata lim kocak,0,safe,non-cyberbullying,0
161,Fany cacat sosoan gembel,fany cacat sosoan gembel,4,moderate_toxic,cyberbullying,1
162,"5 kata lucu 
Toyy lebih jago daripada skylar😂😂😂",kata lucu toyy lebih jago skylar,0,safe,non-cyberbullying,0
163,Casternya berat sebelah jirr...,casternya berat belah jirr,0,safe,non-cyberbullying,0
164,"Udah lah, onic gak jago kata mid line yyq",lah onic jago kata mid line yyq,0,safe,non-cyberbullying,0
165,rrq -1 mage,rrq mage,0,safe,non-cyberbullying,0
166,Udah di bilang juga badut tetap aja🤡🤡,di bilang badut tetap,0,safe,non-cyberbullying,0
167,di game 1 ini sumpah liat pharsa nya w sebagai public juga ngakak posisi apaan dah ini pro player masa gini 🗿😂,game sumpah liat pharsa w public ngakak posisi apa ini pro player masa gin,0,safe,non-cyberbullying,0
168,Karena skylar ke Onic ya udah gua dukung Onic,skylar onic sudah dukung onic,0,safe,non-cyberbullying,0
169,"Gua udah bilang ribuan x Toy ini mm ampas, liat aja positioningnya kocak",sudah bilang ribu x toy mm ampas liat positioningnya kocak,4,moderate_toxic,cyberbullying,1
170,Onic vs partyan warkop 🗿🗿,onic vs partyan warkop,0,safe,non-cyberbullying,0
171,CASTER TOLONG NETRAL DONG .,caster netral dong,0,safe,non-cyberbullying,0
172,arlottnya jago,arlottnya jago,0,safe,non-cyberbullying,0
173,Cemilan onic😂,cemilan onic,0,safe,non-cyberbullying,0
174,Aga ngaakak liat item natan,aga ngaakak liat item natan,0,safe,non-cyberbullying,0
175,"""dominasi onic emang sangat total bgt"" 

trs tiba² bahas ""satu satunya cara menang lawan zunesh"". eh kocak dah ni caster satu",dominasi onic memang sangat total banget terus tiba bahas satu satu cara memang lawan zunesh eh kocak ni caster satu,0,safe,non-cyberbullying,0
176,yang bisa ngalahin onic cuman evos,bisa ngalahin onic cuma evos,0,safe,non-cyberbullying,0
177,kok msh ada ya yg blg dyren lebih jago drpd lutpi 😂,kok msh ya blg dyren lebih jago drpd lutpi,0,safe,non-cyberbullying,0
178,itu Rinzz cuman bisa banyak gaya doang kah?😂😂,rinzz cuma banyak gaya orang,0,safe,non-cyberbullying,0
179,pasep mau di tutor parsah smaa midlane jago hhh,pasep mau tutor parsah smaa midlane jago hhh,0,safe,non-cyberbullying,0
180,raja lokal vs raja lokal sebenernya,raja lokal vs raja lokal sebenernya,0,safe,non-cyberbullying,0
181,W LUPTI 🥶,w lupti,0,safe,non-cyberbullying,0
182,Makan tuh skylar,tuh skylar,0,safe,non-cyberbullying,0
183,gelo arlot lutpi,gelo arlot lutpi,0,safe,non-cyberbullying,0
184,caster masih condong mulu dah,caster kasih condong mulu,0,safe,non-cyberbullying,0
185,untung  baxia kumar diban,untung baxia mar ban,0,safe,non-cyberbullying,0
186,Ini ni yg katanya Toy lebih jago dari Skylar yaa😂,ni kata toy lebih jago skylar,0,safe,non-cyberbullying,0
187,"Tim yg fansnya epic sampai honor karena lebih penting gimik dibanding skill = RRQ

Tim yg fansnya Glory sampai Imortal karena lebih penting skill dibanding gimik = ONIC",tim fansnya epic honor lebih penting gimik banding skill rrq tim fansnya glory imortal lebih penting skill banding gimik onic,0,safe,non-cyberbullying,0
188,Itu ko nga di panggung mainnya,ko nga panggung main,0,safe,non-cyberbullying,0
189,Fanny indo cuma dongeng ya coach kezcute,fanny indo cuma dongeng coach kezcute,0,safe,non-cyberbullying,0
190,Kalau bisa serang aja di ige nya rinz biar tau dia,kalau serang di ige rinz biar tahu,0,safe,non-cyberbullying,0
191,Liat lah onic semakin keras dan tidak ada 1 tim yang  bisa menumbangkan onic,liat lah onic makin keras tidak tim bisa tumbang onic,0,safe,non-cyberbullying,0
192,udah beda jersi lek,beda jersi lek,0,safe,non-cyberbullying,0
193,"Semoga skylar cepet beradaptasi di onic, biar makin enak dan ngga terlalu beban",moga skylar cepet adaptasi onic biar makin enak ngga terlalu beban,0,safe,non-cyberbullying,0
194,ppq,ppq,0,safe,non-cyberbullying,0
195,dyren main sediri,dyren main diri,0,safe,non-cyberbullying,0
196,Orang2 tolol bisa2nya Sanz dibandingin ama rinzz ngakak,orang tolol bisa sanz dibandingin sama rinzz ngakak,4,moderate_toxic,cyberbullying,1
197,😝😝😛🤘🤘,,0,safe,non-cyberbullying,0
198,LIM CASTER POKE,lim caster poke,0,safe,non-cyberbullying,0
199,"“Bukan musuh yg jago, tapi kita yg terlalu tolol”😢",bukan musuh jago kita terlalu tolol,4,moderate_toxic,cyberbullying,1
200,gelo lutpi arcelot,gelo lutpi arcelot,0,safe,non-cyberbullying,0
201,Pharsa pharsa poke bener mati dalem base😂😂,pharsa pharsa poke benar mati dalem base,5,moderate_toxic,cyberbullying,1
202,Fix Zunesh beban tim lol,fix zunesh beban tim lol,0,safe,non-cyberbullying,0
203,Diobok obok sama mas mantan wkwkwk,diobok goblok sama mas mantan wkwkwk,4,moderate_toxic,cyberbullying,1
204,Ngeri lance Kairi😮😮,ngeri lance kairi,0,safe,non-cyberbullying,0
205,fani lawakk😂😂,fani lawakk,0,safe,non-cyberbullying,0
206,Lutfi+ arlot gk ngotak,lutfi arlot ngotak,0,safe,non-cyberbullying,0
207,Lutpi,lutpi,0,safe,non-cyberbullying,0
208,kalah bukan karena musuh nya jago😂,kalau bukan musuh jago,0,safe,non-cyberbullying,0
209,Gila sih Lutfi keren cuyy,gila sih lutfi keren cuyy,0,safe,non-cyberbullying,0
210,Lutpy,lutpy,0,safe,non-cyberbullying,0
211,"berhenti jdi kingdom , berenti nonton rrq",henti jadi kingdom renti nonton rrq,0,safe,non-cyberbullying,0
212,9:19 Pharsa ngapain woy😂,pharsa ngapain woy,0,safe,non-cyberbullying,0
213,Lutpii gelo,lutpii gelo,0,safe,non-cyberbullying,0
214,Wkwkwk kingdom bermuka dua,wkwkwk kingdom muka,0,safe,non-cyberbullying,0
215,Akhirnya skylar vs toy,akhir skylar vs toy,0,safe,non-cyberbullying,0
216,"Disini 9:18 rins harusnya tau kalau ada Sanz yg dari mid karna kelihatan dari visionnya Idok klau sanz ke arah ambush bawah bukan ke idok. Tapi dia malah maju, untuk kehadiran kairi oke lah dia ngga espek tpi harusnya dia tau kalau ada sanz yg ke situ berarti ada backup utk lutpi 😂 gw bukan fans ppq cuman liat rins main bikin ketawa aja... Pantes di tiap week yg gendong si idok😂",sini rins harus tahu kalau sanz mid lihat dari visionnya idok kalau sanz arah ambush bawah bukan idok malah maju hadir kairi oke lah ngga espek harus dia tahu kalau sanz ke situ arti backup lutpi bukan fans ppq cuma liat rins main bikin ketawa pantes tiap week gendong si idok,0,safe,non-cyberbullying,0
217,pak ap pulangkan skylar kamiii,pak ap pulang skylar kamiii,0,safe,non-cyberbullying,0
218,lupy exp line terbaik mpl sejauh jni,lupy exp line baik mpl jauh jni,0,safe,non-cyberbullying,0
219,RRQ MAIN LUDO AJA GA COCOK MAIN ML WKWKW,rrq main ludo tidak cocok main ml wkwkw,0,safe,non-cyberbullying,0
220,Harusnya rrq exp nya minsi,harus rrq exp minsi,0,safe,non-cyberbullying,0
221,Lawannya adik adik,lawan adik adik,0,safe,non-cyberbullying,0
222,"Idok kok main tanknya kek ragu ragu bngt, kasian expnya yg udah open",idok kok main tank ragu ragu banget kasi expnya sudah open,0,safe,non-cyberbullying,0
